id	logFC	AveExpr	t	P.Value	adj.P.Val	B
NES	-1.812761478	5.455651444	-12.5498548	3.16E-32	4.75E-31	62.21417576
HEATR1	1.016821207	5.519544596	12.5465148	3.27E-32	4.90E-31	62.18106422
HLX	-1.381385569	3.099352085	-12.54158861	3.44E-32	5.14E-31	62.13223729
PUS7	1.158593538	4.336329729	12.53841971	3.55E-32	5.30E-31	62.10083395
IQCN	-2.469801344	2.307690908	-12.53802701	3.56E-32	5.32E-31	62.09694265
SUV39H2	1.180800185	3.201833381	12.53159451	3.80E-32	5.66E-31	62.03321286
RNF122	-1.188000289	3.322076644	-12.53110292	3.82E-32	5.69E-31	62.02834317
SELENOP	-2.034081237	6.413963966	-12.52959843	3.87E-32	5.77E-31	62.01344055
TDRKH	1.243451997	4.772870057	12.5224145	4.16E-32	6.19E-31	61.94229515
C12orf49	-1.155819376	6.582388617	-12.51553255	4.46E-32	6.62E-31	61.87416257
FRMD4B	-1.202048612	4.992838704	-12.51024117	4.70E-32	6.97E-31	61.82179184
RAD54B	1.477425918	1.307832621	12.51008897	4.71E-32	6.98E-31	61.82028559
TRIP13	2.304943434	3.7430707	12.5012861	5.14E-32	7.60E-31	61.73318957
RFLNB	-1.337095958	4.131762469	-12.49554079	5.44E-32	8.04E-31	61.67636441
SHROOM4	-1.999113781	4.450833888	-12.49549336	5.44E-32	8.04E-31	61.67589536
LILRA1	-1.703129274	0.288909276	-12.49002244	5.75E-32	8.48E-31	61.62179845
HMGA1	1.927226755	7.483649276	12.4781073	6.47E-32	9.53E-31	61.50402847
NAT9	1.003995247	5.110673258	12.47720876	6.53E-32	9.61E-31	61.49514995
SELPLG	-1.677275959	5.157080657	-12.4754034	6.65E-32	9.77E-31	61.47731212
IPO4	1.22836923	2.503208317	12.47387984	6.75E-32	9.91E-31	61.4622598
ZEB2	-1.610679239	5.484746073	-12.46481206	7.39E-32	1.08E-30	61.37269518
SH3BP5	-1.56788127	3.555661973	-12.45765472	7.93E-32	1.16E-30	61.30202733
WFDC1	-2.119336182	2.160596336	-12.45503526	8.14E-32	1.19E-30	61.27617013
GJA5	-1.786283166	4.596259916	-12.45124544	8.46E-32	1.24E-30	61.23876558
PITX1	4.016876683	2.20915614	12.44700303	8.82E-32	1.29E-30	61.19690208
GIPC2	-2.44966099	1.106908483	-12.44570608	8.93E-32	1.30E-30	61.18410568
KAT2B	-1.256657625	4.509335361	-12.44555437	8.95E-32	1.31E-30	61.18260884
PILRA	-1.739754395	3.367262216	-12.44362569	9.12E-32	1.33E-30	61.16358099
ACP6	1.23126212	4.584817824	12.4408477	9.38E-32	1.37E-30	61.13617705
NTRK3	-2.3890669	0.399133612	-12.44072944	9.39E-32	1.37E-30	61.1350106
SOCS2	-2.157386524	4.155333624	-12.43745118	9.70E-32	1.41E-30	61.10267644
B3GNTL1	1.146325484	3.041037564	12.42836901	1.06E-31	1.54E-30	61.0131234
JPT1	1.492891217	6.96096997	12.42319313	1.12E-31	1.62E-30	60.96210483
CPNE7	2.647127376	2.017618945	12.41639384	1.20E-31	1.73E-30	60.89510325
TWNK	1.176306303	3.667257407	12.41501981	1.21E-31	1.75E-30	60.88156593
CACNA2D2	-3.781068878	4.863734036	-12.4003177	1.40E-31	2.03E-30	60.73677159
ARRB1	-1.432575613	5.780539982	-12.39710177	1.45E-31	2.09E-30	60.70511287
TLR4	-1.860447495	4.151177948	-12.39621171	1.46E-31	2.11E-30	60.69635169
CSF3	-3.85760385	-0.001054623	-12.39387671	1.49E-31	2.15E-30	60.67336911
LPCAT3	-1.098744073	4.330580898	-12.38101034	1.70E-31	2.44E-30	60.54677587
NDRG2	-1.804406341	5.166490777	-12.37895325	1.73E-31	2.49E-30	60.52654314
SNRPE	1.067277055	5.507252884	12.36350611	2.02E-31	2.89E-30	60.37467498
HSPD1	1.161491717	8.173012878	12.36239932	2.04E-31	2.92E-30	60.36379787
P4HA3	2.00596139	2.285922583	12.36069689	2.08E-31	2.97E-30	60.34706824
PLCXD2	-2.006325384	-0.491091547	-12.35995289	2.09E-31	2.99E-30	60.3397574
HYLS1	1.171812708	2.562088356	12.35653018	2.16E-31	3.09E-30	60.30612801
NTNG1	-3.312677386	0.124064175	-12.35627641	2.17E-31	3.09E-30	60.3036348
FOXP3	1.795976029	2.106990326	12.35039121	2.30E-31	3.28E-30	60.24582401
SOBP	-1.887208557	1.909662373	-12.34886668	2.34E-31	3.32E-30	60.23085114
PRR19	1.75700934	0.597332615	12.34621003	2.40E-31	3.41E-30	60.20476191
MYO1B	-1.005671106	7.320514635	-12.34561835	2.41E-31	3.43E-30	60.19895185
PGR	-2.165562407	1.163857037	-12.34551957	2.41E-31	3.43E-30	60.1979819
UBASH3B	-1.843683577	3.662259234	-12.33885887	2.58E-31	3.66E-30	60.13258828
MAPK4	-3.841350724	0.291040528	-12.3274544	2.89E-31	4.09E-30	60.02066972
OIP5	1.898224188	0.868100384	12.32038925	3.09E-31	4.38E-30	59.95136608
MS4A15	-4.757842069	2.001993337	-12.31786895	3.17E-31	4.48E-30	59.92664968
LIMD1	-1.218507367	5.984222683	-12.31737139	3.19E-31	4.50E-30	59.92177043
CCDC152	-1.533344797	0.882130095	-12.31624495	3.22E-31	4.55E-30	59.91072474
CTDSPL	-1.131161076	5.763978581	-12.30590759	3.57E-31	5.03E-30	59.80938608
SLC2A5	2.400775358	2.472477547	12.30089533	3.75E-31	5.28E-30	59.76026837
PDGFB	-1.522613186	4.440055954	-12.29155939	4.11E-31	5.78E-30	59.66881228
IKBKE	1.11723179	4.165039053	12.28129601	4.55E-31	6.38E-30	59.56831858
P3H2	-2.874562492	4.289266428	-12.27949439	4.63E-31	6.49E-30	59.5506833
RIMS4	-3.210116167	-1.055173182	-12.27657314	4.77E-31	6.68E-30	59.52209149
KRT80	2.208774859	5.286961612	12.27531016	4.83E-31	6.75E-30	59.50973136
GFRA2	-2.022995222	0.11366779	-12.26710585	5.24E-31	7.32E-30	59.42945824
SEPTIN10	-1.060019757	5.875137695	-12.26647012	5.27E-31	7.35E-30	59.42323944
CYP4B1	-4.286077617	5.243699768	-12.25072899	6.15E-31	8.58E-30	59.26931858
TPBG	1.563689173	5.074415645	12.24981122	6.21E-31	8.65E-30	59.26034801
TSPAN7	-2.781743693	3.910411788	-12.24873451	6.28E-31	8.73E-30	59.24982444
MMP13	4.630015474	2.053559706	12.24668567	6.40E-31	8.90E-30	59.22980098
ATAD2	1.586784811	5.2254274	12.2353449	7.16E-31	9.92E-30	59.11900283
RHBG	2.66621053	-0.956477798	12.23118584	7.46E-31	1.03E-29	59.07838472
PC	1.562041483	4.932006563	12.228791	7.64E-31	1.06E-29	59.05499993
MDGA1	-1.993721077	2.437332451	-12.22438683	7.98E-31	1.10E-29	59.01200202
REEP1	-2.495000135	1.178894253	-12.22364534	8.04E-31	1.11E-29	59.00476372
ASAH2B	1.022836828	1.953503366	12.22107907	8.24E-31	1.14E-29	58.97971445
TTC28	-1.350507467	4.619598131	-12.21755226	8.53E-31	1.17E-29	58.94529439
SAMHD1	-1.331020504	6.976278698	-12.21373074	8.86E-31	1.22E-29	58.90800489
SCAI	-1.214658403	3.79380339	-12.21251729	8.97E-31	1.23E-29	58.89616574
SPDL1	1.158678664	3.388344968	12.21239023	8.98E-31	1.23E-29	58.89492615
AVL9	1.00116298	6.241447457	12.21213489	9.00E-31	1.23E-29	58.89243496
CHRDL1	-3.152845599	3.63226954	-12.21009839	9.18E-31	1.26E-29	58.8725677
ACOXL	-2.609084412	1.881889723	-12.20391446	9.76E-31	1.33E-29	58.81225183
COL3A1	2.37373158	10.29392627	12.20175392	9.97E-31	1.36E-29	58.79118301
RBMS3	-1.901127538	3.93987245	-12.17676457	1.27E-30	1.74E-29	58.54765837
FAM83D	2.098767792	3.275094844	12.17317281	1.32E-30	1.80E-29	58.5126808
STAC	-2.737980399	2.384379307	-12.17021943	1.36E-30	1.85E-29	58.48392464
RANBP3L	-2.187366047	-0.301705746	-12.16442599	1.44E-30	1.96E-29	58.42752781
VIM	-1.397540795	9.446693689	-12.16351878	1.45E-30	1.97E-29	58.41869789
C1orf115	-1.933156895	4.34135089	-12.16303238	1.46E-30	1.98E-29	58.41396393
SLC46A2	-3.270537985	1.442462836	-12.1606623	1.49E-30	2.02E-29	58.39089847
TRIM59	1.357384583	3.137232569	12.15954478	1.51E-30	2.04E-29	58.38002372
BCL2L15	2.847175356	2.823457216	12.15699492	1.55E-30	2.09E-29	58.35521295
STYK1	2.15404213	2.697202075	12.15375576	1.60E-30	2.16E-29	58.32369965
ARHGAP44	-2.022450959	4.339286098	-12.15125478	1.64E-30	2.21E-29	58.29937147
PCDHGC3	-1.76117937	3.771417823	-12.14697314	1.71E-30	2.30E-29	58.25772895
TNFSF12	-1.328319846	4.671501488	-12.14624006	1.72E-30	2.32E-29	58.25060002
SNORC	1.953147038	0.246579565	12.14062894	1.82E-30	2.45E-29	58.1960425
KCNJ5	-2.43069299	2.506714747	-12.13942076	1.84E-30	2.48E-29	58.18429729
WFDC12	-2.735645691	-2.302970391	-12.13531843	1.91E-30	2.57E-29	58.14442189
SCN2B	-2.383360219	0.008610229	-12.13262058	1.96E-30	2.64E-29	58.11820281
SH3BGRL	-1.020715002	6.741240067	-12.1301592	2.01E-30	2.70E-29	58.09428489
MINAR1	1.682472373	0.456825181	12.12979491	2.02E-30	2.71E-29	58.09074526
FOSB	-3.818149275	5.187048344	-12.12040749	2.21E-30	2.97E-29	57.99955358
PHLDA2	2.2531654	4.237052468	12.11964304	2.23E-30	2.99E-29	57.99212937
BCL9	1.220032694	5.487639033	12.11610478	2.31E-30	3.09E-29	57.95777021
CBX4	1.012175649	5.293997187	12.115898	2.31E-30	3.09E-29	57.95576242
IRAK1	1.120517237	7.278751486	12.11498171	2.33E-30	3.11E-29	57.94686562
GPR4	-1.56371089	2.708536757	-12.1135519	2.37E-30	3.16E-29	57.93298362
RUSC1	1.036479911	5.611211323	12.11136069	2.42E-30	3.22E-29	57.91171105
TIMP3	-2.270221033	3.185782856	-12.10686094	2.53E-30	3.36E-29	57.86803422
MTBP	1.460890815	2.332272554	12.10115187	2.67E-30	3.55E-29	57.81263322
F10	-1.939557293	1.43507463	-12.09415028	2.86E-30	3.80E-29	57.74471113
OGN	-3.133491038	1.727727601	-12.09274342	2.90E-30	3.85E-29	57.73106616
MIS18A	1.114942032	3.490522545	12.08937819	3.00E-30	3.97E-29	57.69843103
SLC24A2	2.817130711	-0.926717121	12.07268134	3.53E-30	4.67E-29	57.53659044
PCYT1B	-2.445171964	-0.481921139	-12.06192437	3.92E-30	5.19E-29	57.43239629
KISS1R	3.159962777	-0.753418537	12.06179769	3.93E-30	5.19E-29	57.43116951
HTR3A	3.922434748	0.760585915	12.05936418	4.02E-30	5.31E-29	57.407606
WDR62	1.940437241	3.085126449	12.05915979	4.03E-30	5.31E-29	57.40562706
KLB	-2.984342444	0.455653979	-12.05700924	4.11E-30	5.42E-29	57.38480602
PCDH9	-2.862915458	1.476618436	-12.05390539	4.24E-30	5.58E-29	57.35475944
SMAD9	-1.990005709	2.796216446	-12.05314498	4.27E-30	5.61E-29	57.34739904
PRKCQ	-1.926813939	2.116932618	-12.05256044	4.30E-30	5.64E-29	57.34174115
SUSD2	-3.528992479	6.363106666	-12.04714081	4.53E-30	5.94E-29	57.2892916
CHRNA5	2.629375479	1.171167444	12.04565274	4.60E-30	6.03E-29	57.27489304
MMP12	3.815184174	3.322168354	12.04025785	4.84E-30	6.35E-29	57.22270106
GJA4	-1.542665476	3.028812937	-12.03305795	5.20E-30	6.80E-29	57.15306899
MRGBP	1.025537132	4.479840634	12.03175643	5.26E-30	6.88E-29	57.14048439
ZNF239	1.470697639	2.337856904	12.03089663	5.31E-30	6.93E-29	57.13217123
NEBL	-1.934766105	5.821995039	-12.03067122	5.32E-30	6.94E-29	57.12999194
TRIM71	-3.178660306	-0.885515089	-12.02217046	5.78E-30	7.54E-29	57.0478214
HMGCLL1	-2.289610138	-0.116090087	-12.02091616	5.85E-30	7.62E-29	57.03569997
SLC7A5	2.228364283	6.266762437	12.01908836	5.96E-30	7.75E-29	57.01803781
CLEC12A	-2.346845944	1.844807173	-12.018658	5.98E-30	7.78E-29	57.01387943
STK39	1.356264962	5.719976931	12.01571399	6.15E-30	7.99E-29	56.98543511
TMEM74B	-1.800159424	1.088312465	-12.01425892	6.24E-30	8.10E-29	56.9713782
AARD	-3.027975654	0.086820914	-12.01197626	6.38E-30	8.27E-29	56.9493283
NATD1	-1.314788233	3.96064578	-12.01122416	6.43E-30	8.33E-29	56.94206379
TUBB6	-1.556675857	5.512793401	-12.00412438	6.89E-30	8.91E-29	56.87350069
EGR2	-1.851446572	3.655080909	-12.00375467	6.91E-30	8.94E-29	56.86993104
PTGIR	-1.404913655	2.272567626	-12.00285833	6.97E-30	9.01E-29	56.86127697
ADGRE5	-1.434429538	6.861286819	-12.00023412	7.16E-30	9.24E-29	56.83594264
SPI1	-1.807725803	5.196658751	-11.99939601	7.21E-30	9.30E-29	56.82785217
FAM167B	-1.438612845	2.041599698	-11.99602787	7.45E-30	9.60E-29	56.79534227
TACC3	1.480317538	5.325757213	11.9957073	7.48E-30	9.63E-29	56.7922483
FGFR2	-2.329110466	4.313063196	-11.99271877	7.70E-30	9.90E-29	56.76340761
ITGA11	2.535400187	4.505518547	11.9907917	7.84E-30	1.01E-28	56.74481283
RAB11FIP1	-1.632851843	6.761567655	-11.98909055	7.97E-30	1.02E-28	56.72839946
APOBR	-1.816408399	3.978770594	-11.98576698	8.24E-30	1.06E-28	56.69633658
PROM2	2.225970494	5.811434614	11.97888527	8.81E-30	1.13E-28	56.62996497
MMP19	-1.878117669	3.987822385	-11.97884329	8.81E-30	1.13E-28	56.62956018
RRAS	-1.509930211	5.515347115	-11.96613216	9.97E-30	1.27E-28	56.50702759
AQP4	-4.579106545	5.229851708	-11.9639595	1.02E-29	1.30E-28	56.48609155
TLCD1	1.545147113	4.076411401	11.96023168	1.06E-29	1.35E-28	56.45017529
WDHD1	1.501787092	3.656500748	11.95633416	1.10E-29	1.40E-28	56.41263124
SERINC2	1.785969974	7.169549094	11.95281	1.13E-29	1.44E-28	56.37869028
EXOC3L1	-1.292490164	2.325038205	-11.95136968	1.15E-29	1.46E-28	56.36482035
ZNF217	1.180652776	6.287776569	11.95046223	1.16E-29	1.47E-28	56.35608238
VARS1	1.095346907	6.865097121	11.94646519	1.21E-29	1.53E-28	56.31759903
ZNF692	1.506661852	4.558295829	11.94383341	1.24E-29	1.57E-28	56.29226478
RFX2	-1.490559121	3.746234255	-11.93732649	1.32E-29	1.67E-28	56.22964182
SORBS3	-1.311651109	6.090407277	-11.9344512	1.36E-29	1.71E-28	56.20197651
LILRB3	-1.504796285	2.126339651	-11.93286809	1.38E-29	1.74E-28	56.18674603
KCTD12	-1.550755118	6.879544089	-11.93058777	1.41E-29	1.78E-28	56.16481008
LDB3	-1.821674654	0.393414505	-11.92824936	1.44E-29	1.82E-28	56.14231807
RTN1	-2.015152219	2.561050555	-11.92515988	1.48E-29	1.87E-28	56.1126059
COLEC12	-2.192471219	5.156731245	-11.90705989	1.77E-29	2.23E-28	55.93862985
EDN1	-2.1756001	4.354117303	-11.90612646	1.78E-29	2.24E-28	55.92966225
PMP22	-1.346598649	6.147490959	-11.90412801	1.82E-29	2.29E-28	55.91046414
LIFR	-1.881019334	5.910196555	-11.90079598	1.88E-29	2.36E-28	55.87845943
SMTNL2	-2.182211478	-0.03913146	-11.89403609	2.01E-29	2.51E-28	55.81354641
TM6SF1	-1.644296536	1.892353532	-11.8930955	2.02E-29	2.53E-28	55.80451602
RHBDL1	2.463895318	1.557031921	11.88545361	2.18E-29	2.72E-28	55.73116439
PRKG1	-1.596953942	3.346226832	-11.88442465	2.20E-29	2.75E-28	55.72128999
CARD14	2.571510819	2.226286483	11.87904385	2.32E-29	2.89E-28	55.66966198
PLCE1	-1.548231837	4.064222147	-11.87781012	2.35E-29	2.92E-28	55.65782654
TERT	2.669761388	-1.304633635	11.87432092	2.43E-29	3.02E-28	55.62435788
MCM6	1.301686743	5.511626186	11.87150604	2.49E-29	3.10E-28	55.59736187
ABCA3	-2.845355098	7.411777668	-11.86418626	2.68E-29	3.32E-28	55.52718017
KLF10	-1.04230518	6.223138781	-11.86310066	2.71E-29	3.36E-28	55.51677368
ABCB6	1.676544089	2.786250516	11.8619111	2.74E-29	3.39E-28	55.50537142
PPFIBP1	-1.226623475	5.510406095	-11.85646993	2.88E-29	3.57E-28	55.45322522
DARS2	1.096197497	5.004435863	11.85469354	2.93E-29	3.63E-28	55.43620417
SYT7	2.72217389	5.016922031	11.84619841	3.19E-29	3.94E-28	55.35482699
NFIX	-1.818945439	6.089270715	-11.83889513	3.42E-29	4.22E-28	55.28489561
DAB2IP	-1.135988517	6.022064878	-11.83576891	3.52E-29	4.35E-28	55.25496926
SCIMP	-1.845348909	2.875732805	-11.83019494	3.72E-29	4.58E-28	55.20162334
CARD16	-1.511270653	2.880071243	-11.82998829	3.73E-29	4.59E-28	55.1996458
FANCG	1.103094491	3.958702932	11.82975874	3.73E-29	4.60E-28	55.1974493
GIMAP5	-1.933480026	1.160566037	-11.8256912	3.88E-29	4.78E-28	55.15853143
ANO6	-1.006417578	6.449255262	-11.81609113	4.26E-29	5.23E-28	55.06671162
LDHA	1.221524671	9.465330818	11.81469952	4.32E-29	5.30E-28	55.05340544
SLCO5A1	2.525487834	1.180877346	11.81449106	4.33E-29	5.30E-28	55.05141229
GFPT1	1.056967951	7.407337768	11.80833212	4.59E-29	5.62E-28	54.99253446
PHOSPHO1	-1.694645346	-0.413870422	-11.80621003	4.69E-29	5.73E-28	54.97225222
SHC3	-2.317039942	2.843358478	-11.80129938	4.91E-29	5.99E-28	54.9253266
SCARA5	-3.533568269	1.262294139	-11.80016847	4.97E-29	6.05E-28	54.91452142
N4BP2L1	-1.34990401	3.744418339	-11.79919393	5.01E-29	6.11E-28	54.90521082
ARHGAP11A	1.710853092	3.663019609	11.79894982	5.03E-29	6.12E-28	54.90287875
VMP1	1.230636182	7.88413076	11.7964111	5.15E-29	6.26E-28	54.87862674
HK3	-2.156528646	3.638199285	-11.78833049	5.57E-29	6.76E-28	54.80145548
ACACB	-1.457084848	3.756732814	-11.78405281	5.80E-29	7.03E-28	54.76061622
CCNE2	1.644441999	1.990470801	11.78402327	5.80E-29	7.03E-28	54.76033418
DOCK11	-1.524940011	4.582464457	-11.78047994	6.00E-29	7.27E-28	54.72651282
KIF22	1.064565685	5.457502834	11.7799564	6.03E-29	7.30E-28	54.72151611
SIK2	-1.008068958	5.878507104	-11.76743474	6.81E-29	8.20E-28	54.6020498
PRICKLE1	-1.674642179	2.395775985	-11.76475325	6.98E-29	8.41E-28	54.57647655
FBP1	-1.741144229	6.543400916	-11.76423179	7.02E-29	8.45E-28	54.57150382
SLC15A3	-1.546122649	5.448805235	-11.76304266	7.10E-29	8.54E-28	54.56016464
INAVA	1.925963001	4.95364603	11.75456047	7.70E-29	9.25E-28	54.47930169
PPP1R14D	4.107165876	1.507462068	11.74990407	8.06E-29	9.66E-28	54.43492652
GNPNAT1	1.295442326	5.097515303	11.74970978	8.07E-29	9.67E-28	54.43307518
ATAD5	1.425062261	2.78034156	11.74630214	8.34E-29	9.99E-28	54.40060784
KCNN4	2.741294505	4.773082519	11.74592979	8.37E-29	1.00E-27	54.39706046
CACNB4	-2.266226255	1.225766263	-11.74551487	8.40E-29	1.00E-27	54.39310764
HPCAL1	-1.206080134	6.313601193	-11.74374095	8.55E-29	1.02E-27	54.37620913
BRIX1	1.109994613	5.279021185	11.74303972	8.61E-29	1.03E-27	54.36952953
SLCO2A1	-2.042360724	5.769971382	-11.74117543	8.76E-29	1.05E-27	54.3517725
DUS4L	1.0008076	3.148742455	11.74018062	8.84E-29	1.05E-27	54.34229789
NMU	3.273633219	0.776676136	11.73603258	9.20E-29	1.10E-27	54.30279691
BYSL	1.155655797	4.494198629	11.73465229	9.33E-29	1.11E-27	54.2896546
NOSTRIN	-1.801550063	3.520225398	-11.73401232	9.38E-29	1.12E-27	54.28356145
RDX	-1.065630863	6.646313267	-11.72572886	1.02E-28	1.21E-27	54.20471424
NPR3	-2.026766229	4.058986466	-11.72333373	1.04E-28	1.23E-27	54.18192235
PTGES	2.315519568	4.54847863	11.72248816	1.05E-28	1.24E-27	54.17387664
RBBP8NL	1.953666231	1.893922686	11.72219252	1.05E-28	1.25E-27	54.17106374
ADGRL4	-1.297064606	4.039494047	-11.71858362	1.09E-28	1.29E-27	54.13672922
CYGB	-1.341394522	3.894381401	-11.71666462	1.11E-28	1.31E-27	54.11847487
C2CD4D	1.950354629	0.355593174	11.71403847	1.14E-28	1.34E-27	54.09349689
GADD45B	-1.590395515	5.818686138	-11.71006885	1.18E-28	1.39E-27	54.05574736
PPBP	-3.181545847	-0.888586439	-11.70574679	1.23E-28	1.45E-27	54.01465535
SHMT2	1.30249322	6.50001581	11.70454478	1.25E-28	1.47E-27	54.00322893
MINDY2	-1.011065333	4.975350019	-11.6994149	1.31E-28	1.54E-27	53.95447205
MFSD2A	-2.042132224	5.194865507	-11.69444432	1.37E-28	1.61E-27	53.90724205
ZCCHC24	-1.094539996	4.866926269	-11.69432903	1.37E-28	1.62E-27	53.9061467
F12	2.264121312	1.638559454	11.69237402	1.40E-28	1.64E-27	53.88757391
WWTR1	-1.10544869	6.452292627	-11.68388628	1.52E-28	1.78E-27	53.80696206
DUOXA1	-2.840138259	3.235293419	-11.68132731	1.56E-28	1.83E-27	53.78266552
CCN4	2.017601993	3.130751326	11.67905154	1.59E-28	1.86E-27	53.76106074
ZNF138	1.08196455	3.193378717	11.67814972	1.60E-28	1.88E-27	53.75250016
FAM241A	-1.213538921	3.719723386	-11.67328835	1.68E-28	1.97E-27	53.70636023
HCN3	1.503699996	2.401088709	11.67133866	1.71E-28	2.00E-27	53.68785886
FLT4	-1.452802198	4.219929624	-11.66005851	1.91E-28	2.23E-27	53.58085527
ABCC3	2.189438734	7.331419285	11.65725064	1.96E-28	2.28E-27	53.5542298
SLC16A11	-2.25031705	0.895576037	-11.64222991	2.26E-28	2.63E-27	53.41186535
C11orf96	-1.944330261	4.604573543	-11.64151867	2.28E-28	2.65E-27	53.40512719
ATP1B2	-1.865947246	0.935021004	-11.63911765	2.33E-28	2.71E-27	53.3823822
DERL3	2.093357866	4.673465184	11.63572851	2.41E-28	2.80E-27	53.35028178
HSH2D	1.345673816	4.221453704	11.62796451	2.59E-28	3.01E-27	53.27676668
SNX25	-1.435420637	5.05296231	-11.62564686	2.65E-28	3.07E-27	53.25482746
COL24A1	1.669616703	1.47194497	11.61964437	2.80E-28	3.25E-27	53.19801999
NEGR1	-2.198375185	1.977720018	-11.61739183	2.87E-28	3.32E-27	53.17670674
LRRC8C	-1.230214073	4.299054497	-11.61515966	2.93E-28	3.39E-27	53.15558878
FLVCR2	-1.423965302	3.990181221	-11.6149649	2.93E-28	3.39E-27	53.15374633
NRG1	-2.341253569	1.356956615	-11.60507206	3.22E-28	3.72E-27	53.06018459
PLLP	-1.936314691	4.706183583	-11.59359291	3.60E-28	4.15E-27	52.95168341
NUP155	1.156798963	5.585068261	11.59107897	3.68E-28	4.24E-27	52.9279306
FILIP1	-2.178160395	3.540029354	-11.59073628	3.70E-28	4.25E-27	52.92469297
TLR8	-2.193898564	2.620629629	-11.58682618	3.84E-28	4.41E-27	52.88775582
PKIG	-1.359159523	5.120055193	-11.58560828	3.88E-28	4.46E-27	52.87625244
METTL1	1.225744288	4.355875479	11.58381165	3.95E-28	4.53E-27	52.8592841
MYOZ1	-2.398450847	0.4794043	-11.58113807	4.05E-28	4.64E-27	52.83403659
HASPIN	1.732782294	1.017135286	11.58104129	4.05E-28	4.64E-27	52.83312269
MCIDAS	2.53618394	0.27746846	11.57828	4.16E-28	4.76E-27	52.80705092
PRG4	-3.312263576	1.948084053	-11.57149803	4.44E-28	5.08E-27	52.74303286
LRRK2	-3.12678628	5.827587824	-11.56846799	4.57E-28	5.22E-27	52.71443869
SCD5	-2.084017821	3.813344074	-11.56200747	4.86E-28	5.55E-27	52.65348714
APOL3	-1.530743167	5.063513527	-11.5608106	4.91E-28	5.61E-27	52.64219768
SEC14L1	-1.036359717	6.448924231	-11.56007668	4.95E-28	5.64E-27	52.63527532
APOLD1	-1.655528126	4.279530257	-11.55928903	4.99E-28	5.67E-27	52.62784653
AATK	-2.48743755	3.095021275	-11.55877181	5.01E-28	5.70E-27	52.62296851
NTRK2	-2.868360851	1.6195817	-11.55081815	5.40E-28	6.14E-27	52.54797289
PREX1	-1.310034801	5.649367395	-11.54368746	5.78E-28	6.56E-27	52.48076487
HSPE1	1.169704638	6.222524829	11.53826633	6.09E-28	6.90E-27	52.4296874
FAM167A	-2.592436162	3.13111747	-11.53704877	6.16E-28	6.97E-27	52.41821771
GAPDH	1.492544774	10.73723733	11.53179075	6.47E-28	7.33E-27	52.36869491
TMEM139	-2.929743253	1.82630179	-11.53015449	6.58E-28	7.44E-27	52.35328668
POC1A	1.379347882	2.955192074	11.52880738	6.66E-28	7.53E-27	52.34060228
CXCL13	3.460189764	3.599637053	11.52149119	7.14E-28	8.06E-27	52.27172971
PALD1	-1.343664759	4.005498436	-11.51668036	7.47E-28	8.42E-27	52.22645695
PODXL	-1.1540111	6.282078252	-11.51315284	7.73E-28	8.70E-27	52.19326853
ITPKA	3.529489025	1.897026469	11.50253977	8.55E-28	9.59E-27	52.0934553
CGREF1	3.016334732	1.42310311	11.50050544	8.71E-28	9.76E-27	52.07432962
KCTD16	-1.996375597	-0.081256612	-11.49812011	8.91E-28	9.98E-27	52.0519068
ABCA9	-1.90424706	1.524234099	-11.49546156	9.14E-28	1.02E-26	52.02691905
CD68	-1.657013445	1.203687092	-11.49484524	9.19E-28	1.03E-26	52.02112682
DBF4	1.247865382	3.572422793	11.48920628	9.70E-28	1.08E-26	51.96814024
IL5RA	-2.65476517	0.358603726	-11.48625853	9.97E-28	1.11E-26	51.94044823
ADGRB3	-2.375213138	-0.473206139	-11.48312031	1.03E-27	1.15E-26	51.91097178
E2F7	2.150318052	1.344347446	11.47504582	1.11E-27	1.24E-26	51.83515414
P2RY14	-1.620485954	1.805254346	-11.47321892	1.13E-27	1.26E-26	51.81800466
AUNIP	1.817460032	0.92461951	11.47207766	1.14E-27	1.27E-26	51.80729232
GPR19	1.818330935	-0.283999455	11.4523888	1.37E-27	1.53E-26	51.62259123
CLIC3	-2.647511048	3.649929845	-11.45210202	1.38E-27	1.53E-26	51.61990247
CA2	-2.396964937	3.923841977	-11.45170361	1.38E-27	1.53E-26	51.61616715
GJC2	-1.678821348	0.642644534	-11.45150112	1.39E-27	1.53E-26	51.61426874
EIF4E3	-1.208608683	4.845504026	-11.4472028	1.44E-27	1.60E-26	51.57397516
KHDRBS2	-2.904293542	0.307879423	-11.43915625	1.56E-27	1.72E-26	51.49857065
ACKR1	-2.892805888	3.058239527	-11.43540298	1.61E-27	1.78E-26	51.46341022
APBB2	-1.111741413	5.283909273	-11.42619825	1.76E-27	1.94E-26	51.37721204
BMP8A	1.839928529	-0.048786098	11.42299168	1.81E-27	2.00E-26	51.34719445
JAM3	-1.360978928	4.320526529	-11.41728932	1.92E-27	2.11E-26	51.2938263
MAOB	-1.999602073	3.936427211	-11.41207541	2.01E-27	2.21E-26	51.24504441
CABYR	3.141501065	1.967633906	11.40934884	2.06E-27	2.27E-26	51.21954005
SFTPD	-3.832592883	6.448943198	-11.4090529	2.07E-27	2.27E-26	51.21677202
SLC51B	-2.300404326	0.244842136	-11.40381432	2.17E-27	2.39E-26	51.1677821
SLC15A2	-2.118367258	4.393629792	-11.40298966	2.19E-27	2.40E-26	51.16007138
