LUAD	FDR_LUAD	LUSC	FDR_LUSC
KHDRBS2	1.45E-15	SPATA1	2.89E-20
KLC1	1.47E-15	SERBP1	2.91E-20
ATP6V0D1	1.47E-15	HIST1H1B	2.93E-20
MCL1	1.49E-15	SSBP1	2.93E-20
IRF3	1.49E-15	PC	3.11E-20
RPL22L1	1.50E-15	ARMC4	3.16E-20
UGGT2	1.50E-15	EIF2C2	3.18E-20
EIF4A3	1.53E-15	KLF10	3.27E-20
ARL14	1.53E-15	CYP4F11	3.31E-20
SAR1B	1.55E-15	IGSF1	3.35E-20
SREBF2	1.56E-15	HIST1H2BL	3.39E-20
FAM119B	1.56E-15	RAB38	3.45E-20
FTSJ2	1.56E-15	PKD2	3.46E-20
METTL5	1.58E-15	C7orf47	3.51E-20
PPIB	1.58E-15	HSD17B10	3.53E-20
THSD4	1.59E-15	PRF1	3.56E-20
MYBPC1	1.59E-15	PMM2	3.58E-20
MMP10	1.60E-15	FHAD1	3.59E-20
TIMM9	1.61E-15	AMTN	3.60E-20
CPT1B	1.61E-15	SOX7	3.65E-20
OR2B6	1.62E-15	MORN5	3.79E-20
OR5P2	1.62E-15	C14orf162	3.87E-20
CCDC151	1.63E-15	GTF2E1	3.89E-20
ZNF774	1.65E-15	KISS1R	3.94E-20
GNL2	1.68E-15	MAPKAPK3	4.09E-20
FHAD1	1.70E-15	BMP5	4.16E-20
MAGOHB	1.75E-15	C12orf36	4.19E-20
C6	1.77E-15	HOTAIR	4.27E-20
PLA2G4C	1.78E-15	IGSF6	4.27E-20
OR5P3	1.79E-15	LHFPL1	4.31E-20
MTMR11	1.80E-15	SDR9C7	4.34E-20
GPX8	1.83E-15	TEX19	4.40E-20
ABCC10	1.85E-15	KDM3A	4.41E-20
ANKFY1	1.85E-15	C18orf54	4.44E-20
CABP5	1.86E-15	HDAC7	4.45E-20
PLA2G15	1.87E-15	FAM173B	4.51E-20
ADAMTS12	1.88E-15	PHTF2	4.57E-20
ILK	1.88E-15	ULBP2	4.58E-20
EXOSC2	1.92E-15	TIMM50	4.59E-20
C17orf28	1.93E-15	SRM	4.60E-20
CDX1	1.95E-15	MRM1	4.63E-20
MOV10	1.97E-15	PIR	4.63E-20
PEG3	1.98E-15	PPEF1	4.65E-20
CECR7	2.00E-15	FKBPL	4.68E-20
C9orf72	2.01E-15	NDRG1	4.72E-20
UGT8	2.01E-15	GRAP2	4.73E-20
KCNK5	2.02E-15	STK33	4.73E-20
KIRREL2	2.06E-15	PRSS35	4.75E-20
CALHM2	2.08E-15	ULK4	4.77E-20
NCRNA00087	2.10E-15	MRPS10	4.77E-20
VPS13D	2.10E-15	XG	4.83E-20
MRPS16	2.14E-15	LOC149837	4.86E-20
GUF1	2.14E-15	TRAF4	5.04E-20
TMEM190	2.16E-15	PABPC5	5.09E-20
MESDC1	2.18E-15	PPFIA3	5.14E-20
AGT	2.23E-15	TULP1	5.17E-20
CXorf41	2.24E-15	DPH3	5.23E-20
THY1	2.25E-15	C1QBP	5.39E-20
TMEM212	2.27E-15	DYRK3	5.44E-20
ASAH1	2.27E-15	SYNJ2	5.54E-20
LCT	2.30E-15	C17orf89	5.68E-20
PRICKLE3	2.31E-15	PHF5A	5.69E-20
FAM83F	2.35E-15	TSEN54	5.74E-20
GRIK2	2.35E-15	C5orf28	5.77E-20
PRPF40B	2.38E-15	SLC22A20	5.77E-20
SEL1L3	2.39E-15	SOCS2	5.86E-20
NDN	2.39E-15	NME4	5.86E-20
NOMO1	2.41E-15	ADNP	5.88E-20
CRHBP	2.43E-15	KLHL32	5.89E-20
LOC147727	2.49E-15	STRBP	5.90E-20
C7orf43	2.53E-15	PDSS1	6.00E-20
FOXE1	2.53E-15	FAM177A1	6.00E-20
TRMT5	2.55E-15	PMS2L1	6.19E-20
SND1	2.55E-15	GRAPL	6.31E-20
COL4A3BP	2.55E-15	SNRPD2	6.36E-20
TIPRL	2.57E-15	RALGAPA2	6.47E-20
PKD1L2	2.61E-15	ATP6V0D1	6.48E-20
APEX2	2.61E-15	DOK7	6.52E-20
PTS	2.64E-15	KIFC2	6.57E-20
C1orf150	2.71E-15	PPP1R3G	6.59E-20
HTR1D	2.72E-15	DPY30	6.67E-20
STX6	2.78E-15	NVL	6.87E-20
CIT	2.78E-15	C1orf163	6.87E-20
LOC729668	2.79E-15	TTLL6	6.88E-20
MGC29506	2.81E-15	CYP26A1	6.89E-20
HS3ST1	2.81E-15	TLX3	6.89E-20
TRIM47	2.81E-15	WDR8	6.89E-20
LOC285205	2.82E-15	RIPK3	7.07E-20
C1orf213	2.84E-15	ACOT2	7.15E-20
C2orf56	2.87E-15	RASGRP3	7.17E-20
N4BP2L2	2.88E-15	BRI3	7.17E-20
THOP1	2.88E-15	DEFB126	7.19E-20
PGM3	2.89E-15	HNRNPA3P1	7.26E-20
CACNA1E	2.92E-15	SRPK2	7.30E-20
RHOD	2.94E-15	DNM1L	7.55E-20
AXL	2.95E-15	INHBE	7.59E-20
GOLPH3L	2.96E-15	CLK2	7.64E-20
COL9A3	3.00E-15	NDUFB5	7.77E-20
LCN2	3.02E-15	CA12	7.84E-20
QPCTL	3.03E-15	ZC3H15	8.02E-20
ELAVL2	3.03E-15	ARHGEF38	8.03E-20
SPINT1	3.05E-15	LSM14B	8.23E-20
SLC25A21	3.08E-15	NPDC1	8.24E-20
TMEM81	3.10E-15	TET1	8.30E-20
GCHFR	3.11E-15	ACAD9	8.31E-20
VDAC1	3.15E-15	PDZD11	8.37E-20
SAAL1	3.17E-15	SIP1	8.38E-20
GCAT	3.21E-15	NIPAL3	8.47E-20
C1orf173	3.23E-15	CDCP1	8.61E-20
HIPK1	3.24E-15	ALDOC	8.91E-20
SLCO1B1	3.30E-15	PPIH	9.14E-20
ASAH2B	3.33E-15	FAM98A	9.37E-20
FOXO3B	3.34E-15	TGFA	9.39E-20
WDR93	3.34E-15	C4orf22	9.44E-20
HEPHL1	3.34E-15	VDAC1	9.59E-20
MYBPH	3.38E-15	KIF19	9.70E-20
TMEM2	3.41E-15	MARCKS	9.81E-20
COL4A4	3.43E-15	FAM128B	9.94E-20
CIRH1A	3.46E-15	THUMPD2	9.98E-20
NPTX1	3.48E-15	FAM69A	1.00E-19
PSMB5	3.54E-15	HAUS6	1.00E-19
C6orf127	3.56E-15	ATP5B	1.01E-19
SRP54	3.62E-15	POU3F1	1.03E-19
FEM1C	3.64E-15	MYO7B	1.03E-19
SDAD1	3.66E-15	TCFL5	1.06E-19
IFT88	3.75E-15	TMEM183A	1.07E-19
GINS3	3.79E-15	CSAG3	1.07E-19
MORF4L2	3.81E-15	ARHGAP20	1.08E-19
ST6GALNAC1	3.84E-15	AGXT2L2	1.09E-19
CALCA	3.97E-15	RADIL	1.10E-19
BCKDK	3.99E-15	C1orf230	1.11E-19
WNK2	4.02E-15	E2F6	1.12E-19
GTPBP5	4.04E-15	NME1-NME2	1.12E-19
C8orf44	4.05E-15	KCTD5	1.13E-19
MCCC2	4.07E-15	BAK1	1.17E-19
C19orf52	4.14E-15	ABHD5	1.17E-19
ZNF587	4.18E-15	TDRD3	1.18E-19
C17orf65	4.21E-15	YWHAQ	1.20E-19
KCNJ10	4.21E-15	NPW	1.21E-19
MMP14	4.29E-15	ZBED4	1.22E-19
FAM195A	4.29E-15	P2RX1	1.23E-19
MRPL42	4.30E-15	POFUT1	1.23E-19
RANGAP1	4.31E-15	IMMT	1.24E-19
CDX2	4.36E-15	PITPNB	1.24E-19
FAM47E	4.36E-15	KRT3	1.25E-19
GALNT4	4.36E-15	MVP	1.25E-19
BACE2	4.39E-15	PIPSL	1.26E-19
AK7	4.40E-15	KRT33B	1.27E-19
MYD88	4.44E-15	KPNA1	1.28E-19
TRIM67	4.50E-15	HEXB	1.30E-19
THOC4	4.55E-15	KHDC1L	1.31E-19
PARD3B	4.56E-15	HIST1H2BJ	1.36E-19
RFC3	4.57E-15	FAM100B	1.37E-19
C6orf147	4.64E-15	SCGB3A2	1.38E-19
MUC6	4.69E-15	C6orf136	1.38E-19
PRSS1	4.69E-15	MRPL24	1.38E-19
AKR1C2	4.74E-15	CYP2S1	1.39E-19
FAM57B	4.75E-15	FZD10	1.39E-19
STARD4	4.76E-15	CENPQ	1.39E-19
UBXN4	4.78E-15	MTA1	1.40E-19
CHST15	4.79E-15	C2orf48	1.46E-19
GPRC5A	4.79E-15	BEND3	1.52E-19
TCERG1	4.80E-15	SUSD1	1.53E-19
YY1	4.84E-15	GRIN2D	1.54E-19
PKIB	4.86E-15	SASH3	1.55E-19
ZIC5	4.92E-15	CD244	1.56E-19
NUP88	4.93E-15	PTPRC	1.56E-19
PRR7	4.95E-15	PSMB5	1.58E-19
PSIMCT-1	5.01E-15	MRPS33	1.60E-19
CLSTN3	5.02E-15	RTN4R	1.61E-19
UGGT1	5.05E-15	CHAC1	1.62E-19
GPN1	5.05E-15	AUP1	1.66E-19
RUFY4	5.07E-15	NOC2L	1.67E-19
PADI3	5.09E-15	C12orf52	1.70E-19
SNX30	5.19E-15	GREM2	1.72E-19
CHML	5.19E-15	IGLON5	1.73E-19
KIAA1199	5.25E-15	SMC1B	1.75E-19
ZNF93	5.26E-15	SLC17A5	1.77E-19
FAM174A	5.35E-15	NSUN5	1.77E-19
COL9A2	5.37E-15	ZBBX	1.78E-19
SLC6A3	5.39E-15	SLC13A5	1.79E-19
CILP	5.40E-15	TBRG1	1.80E-19
TUBB	5.40E-15	STXBP5L	1.81E-19
FLJ12825	5.45E-15	SLC44A1	1.82E-19
ARHGEF17	5.49E-15	VGLL3	1.82E-19
KLHDC8A	5.52E-15	LRP12	1.83E-19
CCNO	5.54E-15	IL11RA	1.86E-19
CDK17	5.58E-15	FBXO22	1.89E-19
CAPSL	5.60E-15	LOC341056	1.93E-19
LOC541471	5.62E-15	DOCK6	1.94E-19
IL17RA	5.62E-15	SLC6A11	1.94E-19
TNFRSF11A	5.63E-15	HIST1H4J	1.95E-19
SPEF1	5.63E-15	APOBEC4	2.03E-19
KDSR	5.64E-15	TAOK2	2.04E-19
LST-3TM12	5.66E-15	MRVI1	2.07E-19
THRB	5.72E-15	PLCH1	2.07E-19
RERG	5.85E-15	CXorf21	2.08E-19
UBE2Q1	5.89E-15	FAM199X	2.10E-19
LOC728392	5.96E-15	NPHP1	2.11E-19
CDYL	6.09E-15	CCDC37	2.16E-19
SLC46A2	6.10E-15	GBX2	2.23E-19
SEC24A	6.15E-15	UGT8	2.26E-19
LSM5	6.22E-15	RGS18	2.26E-19
NUP210L	6.24E-15	LOC100132354	2.26E-19
ATP1B1	6.27E-15	KCNK9	2.26E-19
PGAP1	6.27E-15	TCTE3	2.27E-19
GPS1	6.30E-15	ARSH	2.30E-19
CHORDC1	6.31E-15	GDPD2	2.31E-19
DOCK2	6.35E-15	TOR1AIP1	2.39E-19
BAI2	6.44E-15	WDR69	2.40E-19
EEF1E1	6.47E-15	LEO1	2.41E-19
HOXA4	6.48E-15	EIF2S2	2.41E-19
ST7	6.50E-15	BAI3	2.43E-19
MRPL10	6.51E-15	IL17RE	2.45E-19
HRG	6.59E-15	FUNDC1	2.46E-19
CTH	6.62E-15	PDE3B	2.50E-19
GPATCH2	6.65E-15	PM20D2	2.50E-19
GRAMD3	6.75E-15	TP53AIP1	2.50E-19
FBXL20	6.82E-15	EPRS	2.61E-19
TFAP2C	6.87E-15	NUDT3	2.66E-19
DNAH7	6.89E-15	FLVCR1	2.68E-19
TIMM17B	6.91E-15	YIPF4	2.73E-19
ATOH8	6.91E-15	MAPK12	2.74E-19
AMMECR1	6.94E-15	PHB2	2.79E-19
TCEA1	7.07E-15	ADH7	2.79E-19
KIF5A	7.09E-15	RYK	2.80E-19
FKBP15	7.09E-15	ZNF273	2.80E-19
FGF5	7.25E-15	LAMA1	2.81E-19
PNMA5	7.35E-15	AHNAK2	2.82E-19
ANXA6	7.61E-15	C9orf119	2.88E-19
C1orf158	7.77E-15	DRP2	2.88E-19
ZNF280C	7.77E-15	NPLOC4	2.93E-19
PCDHB4	7.85E-15	C22orf28	2.93E-19
PPP2R3B	7.86E-15	HIST1H3H	2.97E-19
HIST3H2A	7.88E-15	SLC23A1	2.97E-19
GTF2E2	7.95E-15	VWA5A	2.97E-19
ZNHIT3	7.98E-15	TEC	3.01E-19
CCDC134	8.01E-15	HYI	3.02E-19
DEM1	8.05E-15	AKNA	3.06E-19
SLC35A1	8.07E-15	NISCH	3.06E-19
SMARCB1	8.15E-15	TMEM106C	3.09E-19
XPC	8.29E-15	PART1	3.10E-19
LOC729375	8.29E-15	PTGER4	3.10E-19
FILIP1	8.29E-15	CCDC51	3.12E-19
CDK5R2	8.33E-15	ADCY10	3.13E-19
TMEM54	8.33E-15	C17orf90	3.14E-19
HIST1H2AG	8.51E-15	DTX2	3.20E-19
PLD5	8.61E-15	NRARP	3.22E-19
KIAA1045	8.63E-15	DHX37	3.22E-19
GUCY2C	8.67E-15	DLEU2	3.25E-19
TBCE	8.71E-15	C3orf18	3.28E-19
TOMM40	8.87E-15	DKFZp434J0226	3.30E-19
PERP	8.89E-15	SEPP1	3.32E-19
ADAM6	8.90E-15	CEP78	3.37E-19
NMNAT2	8.90E-15	TOR3A	3.38E-19
MCM3APAS	8.92E-15	CBR3	3.41E-19
USP54	8.95E-15	RHOU	3.43E-19
PXMP4	8.98E-15	DAZAP1	3.46E-19
HYDIN	9.01E-15	FYN	3.49E-19
RNF149	9.11E-15	IL31RA	3.55E-19
LRRC15	9.17E-15	UBE2Z	3.56E-19
PARVA	9.36E-15	HDHD3	3.56E-19
CARM1	9.38E-15	ANAPC5	3.63E-19
LYPLA1	9.39E-15	NPBWR1	3.74E-19
TUBB2A	9.40E-15	KIF1A	3.74E-19
EPHB3	9.45E-15	C7orf63	3.79E-19
SMARCA5	9.48E-15	UTP18	3.80E-19
WFDC10B	9.51E-15	TBCEL	3.89E-19
PLA2G1B	9.54E-15	RPA3	3.96E-19
RNF43	9.56E-15	MAGEB6	4.00E-19
KIF26A	9.61E-15	ABCC1	4.06E-19
ANAPC11	9.64E-15	SNRNP40	4.07E-19
GRHL2	9.68E-15	ACTR3B	4.09E-19
USP18	9.70E-15	USP27X	4.24E-19
NDUFS8	9.73E-15	FBXL17	4.24E-19
GTPBP10	9.88E-15	CCL24	4.27E-19
SFRS9	9.89E-15	IFNAR1	4.28E-19
WASF2	1.00E-14	AP2A2	4.30E-19
NOX4	1.00E-14	CEP120	4.34E-19
MINA	1.01E-14	RNF126	4.36E-19
CPSF4	1.03E-14	POLR2J	4.40E-19
TFRC	1.05E-14	AHSA1	4.43E-19
DNAH6	1.05E-14	BTN3A2	4.49E-19
ADAMDEC1	1.05E-14	TMEM216	4.53E-19
DGKA	1.06E-14	MYL6B	4.59E-19
WWTR1	1.07E-14	LIF	4.63E-19
C19orf22	1.07E-14	CDK5R2	4.69E-19
LOC100133985	1.07E-14	PSMB2	4.71E-19
TNFAIP8L2	1.08E-14	TRIM7	4.78E-19
CNGA1	1.08E-14	CSTL1	4.88E-19
RAD9A	1.09E-14	ERGIC2	4.88E-19
TOPBP1	1.09E-14	MRPS16	4.89E-19
CCT8	1.09E-14	PLCXD3	4.90E-19
LOC284100	1.10E-14	RNF2	4.91E-19
HPGDS	1.10E-14	EXOC6	4.96E-19
HIST1H1B	1.10E-14	DYX1C1	4.97E-19
SLC48A1	1.12E-14	DNAJC5B	5.00E-19
FMO3	1.14E-14	NCL	5.17E-19
C4orf21	1.14E-14	PSME3	5.18E-19
RPS2	1.14E-14	CASK	5.18E-19
CGB5	1.14E-14	PECR	5.23E-19
LOC389791	1.15E-14	C11orf54	5.28E-19
ITGB4	1.16E-14	KPRP	5.28E-19
EFNB1	1.17E-14	IBSP	5.31E-19
C2orf44	1.17E-14	SCRIB	5.36E-19
RGS16	1.18E-14	HIST1H1D	5.45E-19
H2AFZ	1.19E-14	RNF168	5.48E-19
TFAM	1.19E-14	NUP50	5.65E-19
TFF2	1.19E-14	TMC5	5.66E-19
PTMA	1.20E-14	LOC283404	5.73E-19
LOC100272217	1.21E-14	PCDH1	5.77E-19
DLX3	1.21E-14	MRGPRF	5.84E-19
APOL4	1.22E-14	MSN	5.88E-19
RBM45	1.23E-14	CBX4	5.89E-19
ZNF512B	1.24E-14	RPL23AP53	5.97E-19
C20orf85	1.25E-14	UBXN2A	6.00E-19
DLX5	1.26E-14	COX5A	6.10E-19
UNC119	1.26E-14	ARMC2	6.11E-19
INTS4	1.26E-14	TMEM63B	6.12E-19
PKD2	1.30E-14	FGF7	6.12E-19
FGD6	1.30E-14	GNS	6.28E-19
EIF2B2	1.32E-14	FAM22A	6.37E-19
LIPK	1.32E-14	DACH1	6.39E-19
RASAL2	1.33E-14	GAP43	6.42E-19
C8orf31	1.34E-14	LRP2	6.42E-19
L1TD1	1.34E-14	C1QC	6.60E-19
CCR8	1.34E-14	RNF144B	6.60E-19
PARP2	1.35E-14	FAM109A	6.62E-19
WDR19	1.35E-14	EBNA1BP2	6.67E-19
CAPS2	1.36E-14	C2CD4A	6.71E-19
NOL3	1.37E-14	MS4A3	6.74E-19
BEX4	1.38E-14	LRRC27	6.78E-19
LOC256880	1.39E-14	GCLM	6.86E-19
LRCH2	1.39E-14	B3GNT3	6.98E-19
TF	1.39E-14	RBBP7	6.99E-19
TUBA4A	1.41E-14	SNRPD3	7.09E-19
NCOA4	1.41E-14	HNRNPR	7.15E-19
CDK16	1.42E-14	LEPROTL1	7.32E-19
ENPP6	1.43E-14	TEKT1	7.41E-19
GCM1	1.44E-14	GPR123	7.57E-19
GABRA3	1.44E-14	HLA-DQA2	7.58E-19
CLN8	1.44E-14	RSPO4	7.61E-19
C6orf118	1.45E-14	MED11	7.64E-19
SEC13	1.47E-14	C1orf109	7.64E-19
CSAG1	1.52E-14	FCGR1B	7.83E-19
HINFP	1.52E-14	OTUB2	7.88E-19
PFN4	1.52E-14	STX3	7.89E-19
HDLBP	1.55E-14	LTB4R	7.95E-19
C14orf105	1.55E-14	OTUB1	8.13E-19
SCN11A	1.56E-14	EEF1A2	8.18E-19
ASPHD2	1.57E-14	SERPINB12	8.18E-19
TMEM92	1.58E-14	THSD1	8.27E-19
HAUS5	1.58E-14	NDUFA4L2	8.35E-19
GAN	1.60E-14	HPCA	8.40E-19
SNTB2	1.61E-14	ANKHD1-EIF4EBP3	8.43E-19
FLRT1	1.62E-14	SPTLC3	8.68E-19
ANKRD44	1.64E-14	MGAT4A	8.74E-19
LOC145820	1.64E-14	C7orf49	8.78E-19
URB2	1.66E-14	NOL12	8.87E-19
YPEL4	1.68E-14	VDAC2	8.89E-19
LYSMD4	1.68E-14	ST8SIA2	8.89E-19
SYT16	1.71E-14	MDH1B	8.91E-19
MUC5B	1.72E-14	HNRNPA2B1	8.91E-19
TMUB1	1.73E-14	SPRR2G	9.05E-19
INPP4B	1.74E-14	PKP2	9.39E-19
MAPRE2	1.77E-14	PAXIP1	9.40E-19
ZNF763	1.78E-14	CALHM2	9.70E-19
COL25A1	1.79E-14	PRKCQ	9.77E-19
TNFSF4	1.82E-14	SPRR2E	9.77E-19
TMEM147	1.82E-14	C16orf86	9.98E-19
SYT14	1.83E-14	RD3	9.99E-19
SEPHS2	1.84E-14	DYSFIP1	1.00E-18
FAM132A	1.85E-14	NKX6-1	1.01E-18
HGFAC	1.85E-14	LIG4	1.02E-18
S1PR5	1.87E-14	MYO1B	1.02E-18
MEX3D	1.87E-14	CDC14A	1.02E-18
OR4F4	1.88E-14	ZMAT1	1.02E-18
TMEM132C	1.89E-14	FOXK2	1.03E-18
ERI2	1.89E-14	ACN9	1.03E-18
TRPM1	1.90E-14	C4orf49	1.06E-18
HARS2	1.91E-14	LIMK1	1.06E-18
DNAH9	1.93E-14	MPP1	1.07E-18
SCYL3	1.96E-14	ZNF207	1.07E-18
RCE1	1.97E-14	CCDC142	1.09E-18
CBFA2T3	2.00E-14	PSMA4	1.09E-18
PRRC1	2.03E-14	TMEM138	1.11E-18
SERPINA9	2.03E-14	KHDC1	1.11E-18
AK2	2.03E-14	CAPN2	1.11E-18
LRDD	2.04E-14	PTGES3	1.12E-18
C9orf173	2.05E-14	SRRD	1.14E-18
TET1	2.11E-14	ILF3	1.15E-18
PRIM2	2.11E-14	DNAH3	1.15E-18
VSTM2L	2.12E-14	WFDC5	1.17E-18
COL1A2	2.13E-14	C9orf21	1.17E-18
GFRA1	2.13E-14	VARS	1.17E-18
C3orf15	2.14E-14	SPRR4	1.21E-18
CDH15	2.15E-14	MNAT1	1.21E-18
CBLB	2.16E-14	UBFD1	1.21E-18
DNAI1	2.16E-14	GYS1	1.22E-18
TMOD3	2.17E-14	C6orf147	1.22E-18
ANKRD58	2.18E-14	FANCF	1.23E-18
UGT2B11	2.21E-14	ANKRD39	1.25E-18
TARBP2	2.21E-14	TFDP1	1.27E-18
HSF4	2.22E-14	GFRA2	1.28E-18
ADAMTSL5	2.23E-14	RHOBTB1	1.29E-18
FBXO45	2.23E-14	LCE3D	1.31E-18
TRIM58	2.24E-14	KLC2	1.31E-18
PRDM15	2.24E-14	PSMD1	1.35E-18
F2	2.26E-14	MAP7	1.35E-18
LOC554202	2.31E-14	BID	1.37E-18
OAZ3	2.33E-14	FAM49A	1.37E-18
C6orf218	2.34E-14	KCNJ14	1.37E-18
KCNE4	2.34E-14	ODF3L1	1.38E-18
PCGF3	2.34E-14	PMS2L5	1.39E-18
METTL2B	2.35E-14	IFFO1	1.41E-18
GANC	2.37E-14	NACC1	1.42E-18
PTTG3P	2.37E-14	C18orf34	1.44E-18
DGKI	2.39E-14	ZNF75D	1.45E-18
CSE1L	2.41E-14	TPPP	1.45E-18
ZNF474	2.43E-14	LEPRE1	1.47E-18
SLC35F3	2.45E-14	POF1B	1.48E-18
ATP6V0D2	2.45E-14	MICAL3	1.49E-18
DDX3X	2.45E-14	PPP3CC	1.49E-18
TM9SF4	2.46E-14	PCDH15	1.50E-18
MRPS5	2.47E-14	ABR	1.54E-18
PSMD7	2.48E-14	WNT7B	1.54E-18
FAM103A1	2.49E-14	WRNIP1	1.55E-18
KIAA1383	2.51E-14	GTF2E2	1.55E-18
CCDC138	2.53E-14	GALNTL1	1.55E-18
TIGD1	2.54E-14	CRIPT	1.57E-18
NUDCD1	2.54E-14	TTYH1	1.57E-18
MEGF10	2.58E-14	PCDHGB7	1.58E-18
C7orf23	2.59E-14	RPN2	1.63E-18
ALG1	2.60E-14	GTF2IRD2	1.63E-18
PCDHGA9	2.64E-14	TNFRSF21	1.67E-18
MAGEC1	2.64E-14	CYP24A1	1.69E-18
TTC29	2.66E-14	HIST1H2AH	1.69E-18
INSL4	2.67E-14	PPP1CC	1.69E-18
CD69	2.67E-14	C6orf25	1.69E-18
FAM81A	2.69E-14	ORC2L	1.70E-18
CCDC129	2.70E-14	SULF1	1.73E-18
SFRS13A	2.71E-14	CNNM1	1.73E-18
CHURC1	2.72E-14	TMEM192	1.75E-18
MRPL35	2.74E-14	ARHGAP15	1.78E-18
SFRS1	2.76E-14	PCDH20	1.78E-18
BMF	2.78E-14	DDX5	1.79E-18
C21orf71	2.79E-14	C7orf68	1.79E-18
ENHO	2.79E-14	PTPRQ	1.80E-18
DYDC1	2.82E-14	UTP14A	1.80E-18
NOLC1	2.83E-14	EXOC3L2	1.81E-18
ELL3	2.88E-14	ATOH7	1.82E-18
SNRPF	2.90E-14	WBSCR22	1.83E-18
MRPL2	2.91E-14	SUDS3	1.84E-18
SCN4A	2.92E-14	LPAR3	1.85E-18
DQX1	2.92E-14	CAPS	1.85E-18
PRKACA	2.94E-14	CHP	1.85E-18
STAU2	2.95E-14	MAN1C1	1.86E-18
TRPM2	2.97E-14	RNASE13	1.86E-18
C1GALT1	2.99E-14	MRPS17	1.89E-18
RAVER2	3.01E-14	ZYG11B	1.91E-18
GRB7	3.01E-14	PACSIN3	1.94E-18
STEAP2	3.01E-14	MAGEA2	1.98E-18
CAPS	3.02E-14	C16orf87	2.04E-18
KHDC1L	3.02E-14	HCN3	2.09E-18
PSD	3.03E-14	SMTNL2	2.11E-18
ZNF691	3.04E-14	JUN	2.12E-18
TM4SF5	3.04E-14	ACRV1	2.13E-18
CD163	3.05E-14	FCHSD2	2.20E-18
ABCC13	3.05E-14	FZD6	2.23E-18
DNAI2	3.06E-14	FAM3C	2.24E-18
STOML3	3.07E-14	NRM	2.28E-18
C1QC	3.14E-14	TEX101	2.31E-18
NAA38	3.14E-14	RPH3AL	2.44E-18
PEX11B	3.16E-14	ASPHD2	2.45E-18
UGT2B15	3.16E-14	VPS25	2.46E-18
LOC100130015	3.22E-14	TAF4B	2.46E-18
NACC1	3.28E-14	LCE3E	2.47E-18
SLC30A4	3.28E-14	OCEL1	2.53E-18
B2M	3.30E-14	CCT8	2.59E-18
PDS5B	3.31E-14	TXK	2.65E-18
AKT3	3.32E-14	TLX1	2.66E-18
CDC123	3.33E-14	C8orf85	2.68E-18
EFEMP2	3.33E-14	NBEAL1	2.71E-18
TADA1	3.37E-14	XRCC6BP1	2.76E-18
LSM2	3.39E-14	IPPK	2.77E-18
SLC16A8	3.40E-14	TCF7L2	2.78E-18
NIPSNAP3A	3.41E-14	ACTG2	2.88E-18
IDI1	3.41E-14	NDUFA9	2.89E-18
GUCY1B2	3.47E-14	OTUD6B	2.89E-18
ZNRD1	3.52E-14	C4A	2.89E-18
PRDM11	3.53E-14	STOML2	2.94E-18
RPA3	3.57E-14	CYP4F3	2.94E-18
FBXO40	3.62E-14	XRCC6	2.96E-18
AZI1	3.62E-14	VENTX	2.98E-18
PPP1R16A	3.62E-14	HLA-DMB	3.09E-18
C7orf27	3.66E-14	SLC3A2	3.10E-18
C10orf58	3.68E-14	SOHLH1	3.22E-18
TSHR	3.69E-14	USP21	3.23E-18
INHBE	3.70E-14	MYNN	3.23E-18
C9orf117	3.71E-14	KCTD16	3.33E-18
THEM5	3.72E-14	SH3KBP1	3.33E-18
PLXDC2	3.73E-14	AIM1L	3.33E-18
EIF2AK2	3.73E-14	OR2B6	3.33E-18
SATB2	3.75E-14	RAG1AP1	3.34E-18
BHMT2	3.80E-14	C19orf73	3.46E-18
ZZEF1	3.81E-14	SGMS1	3.60E-18
C3orf30	3.82E-14	SLC44A4	3.62E-18
KIF2A	3.82E-14	LOC100287718	3.62E-18
DUSP19	3.84E-14	S100A11	3.65E-18
PALM	3.87E-14	FFAR3	3.66E-18
CASP2	3.90E-14	S100A3	3.72E-18
INA	3.97E-14	NCBP1	3.74E-18
AQP1	3.98E-14	CTNNA1	3.82E-18
MAPK13	3.98E-14	WDR45L	3.82E-18
C6orf167	3.99E-14	PRKAB1	3.82E-18
ERCC3	4.00E-14	MFSD9	3.89E-18
CHMP4B	4.01E-14	DOK3	3.95E-18
C1orf189	4.05E-14	ZMYND11	3.97E-18
TAF6	4.07E-14	GEMIN6	3.99E-18
DACT3	4.08E-14	CRABP1	4.02E-18
TEX19	4.08E-14	MAN1A1	4.09E-18
AMN	4.10E-14	THOC6	4.13E-18
NIT2	4.11E-14	CERCAM	4.13E-18
REPIN1	4.23E-14	SLAMF9	4.15E-18
HAPLN3	4.23E-14	LRCH2	4.17E-18
KIAA1875	4.28E-14	DIAPH1	4.22E-18
ALG1L2	4.33E-14	BCS1L	4.31E-18
YARS2	4.50E-14	CEBPG	4.32E-18
TTLL4	4.53E-14	RG9MTD1	4.34E-18
CMA1	4.54E-14	C18orf55	4.37E-18
PFAS	4.63E-14	MPPED1	4.47E-18
GPN2	4.64E-14	KLKB1	4.54E-18
CLEC6A	4.77E-14	METTL2A	4.54E-18
GPRASP2	4.84E-14	HIC1	4.55E-18
PABPC4	4.86E-14	COX4NB	4.57E-18
LOC100272146	4.86E-14	AMIGO1	4.58E-18
JUP	4.90E-14	NETO2	4.58E-18
LOC100132354	5.03E-14	PXK	4.60E-18
