Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
TRAPPC2L,0.10894339,4.659232732,1.284623061,0.200585958,0.233782273,-7.132245174
PKP4,0.118874515,4.684888581,1.283152006,0.201099612,0.234331087,-7.158920444
PLSCR1,0.128475947,5.759206201,1.27893503,0.20257743,0.235902602,-7.449143218
HMGB1P6,0.117706592,5.369202416,1.277080741,0.203229777,0.236611974,-7.449445695
MLX,0.0843032,5.552767015,1.275351317,0.203839584,0.237271528,-7.452975585
ATP6V1D,0.071520438,5.54882291,1.259849013,0.209365867,0.243393928,-7.472523269
SLC10A3,0.097564095,5.821974256,1.256796673,0.210466744,0.244569945,-7.476525209
TSG101,0.072201061,6.06677452,1.256375841,0.210618855,0.244670811,-7.471409695
FUBP3,0.069301098,4.843900014,1.256309455,0.210642857,0.244670811,-7.329705056
SH3BP4,0.151874047,5.086512187,1.252148314,0.212151356,0.246370767,-7.453598881
TAF15,0.121144747,6.097553844,1.248858021,0.213349716,0.247657435,-7.479981048
EMC4,0.086613317,4.778664291,1.247862164,0.213713387,0.248027038,-7.288621351
MMUT,0.082464506,5.299080804,1.245128445,0.214714015,0.249135554,-7.487927206
JAGN1,0.094820017,6.034382169,1.243033591,0.2154831,0.249922079,-7.488886239
OS9,0.103689286,7.326074908,1.236051364,0.218060936,0.252804881,-7.437611246
ZMAT2,0.063640013,7.25636727,1.231514334,0.219747943,0.254706787,-7.447690813
MAP2K2,0.076379051,5.87361884,1.224603794,0.222335612,0.257542667,-7.515495521
HNRNPA3,0.093140046,6.88802251,1.223614734,0.22270776,0.257919217,-7.479547347
RPS14,0.130616746,8.665707739,1.213318203,0.226608709,0.262268259,-7.384731658
SLC35F6,0.079484721,5.770761367,1.211463048,0.227316748,0.262923466,-7.532785895
PGM2,0.118415636,4.639955116,1.207874638,0.228690812,0.264456935,-7.208463533
DHX29,0.101615697,4.82342486,1.206971479,0.229037584,0.264802052,-7.374725129
MRPL43,0.09388553,5.274402295,1.20556827,0.229577102,0.265313845,-7.535221352
PGLS,0.113533481,5.528435764,1.20533474,0.22966698,0.265361742,-7.539358628
MVB12A,0.102049526,4.807750381,1.201198308,0.231263141,0.267037039,-7.369276506
CRYZ,0.133421781,5.168436542,1.201037103,0.231325507,0.267052772,-7.531554347
QARS1,0.072710949,6.791634865,1.195399445,0.233514156,0.269522658,-7.518917221
FBN1,0.212756651,4.438081281,1.185112953,0.237545639,0.273829698,-7.03151484
MAPKAPK2,0.070362563,7.094989314,1.184055982,0.237962679,0.274252738,-7.514838926
DNAJA2,0.065125317,5.732106912,1.180585221,0.239335774,0.275603343,-7.569743721
NFU1,0.088198802,5.580041255,1.176690597,0.240883256,0.277268773,-7.573701765
PSMG2,0.062949354,5.784276665,1.176410104,0.24099498,0.277339108,-7.574418189
TBCB,0.089470616,5.714965164,1.167664787,0.244496833,0.281309985,-7.584881396
POGZ,0.120260548,4.754645846,1.159898913,0.247636557,0.284743063,-7.373446586
GIT1,0.093811646,5.363417072,1.14969509,0.251805052,0.289293327,-7.603424491
GOLT1A,0.189630483,4.997561871,1.139833495,0.255880396,0.293667509,-7.558076475
ACOX1,0.073976697,5.175797944,1.135672934,0.257613552,0.2955328,-7.608689124
UBR7,0.064473951,5.063783789,1.133154369,0.258666687,0.296554672,-7.588801465
NAMPT,0.202748276,6.322304316,1.124254908,0.262412068,0.300597057,-7.6216467
RPL13P12,0.159378829,5.215216827,1.121455987,0.263597778,0.301829096,-7.629055228
TRIP6,0.136795279,6.28117301,1.121035086,0.263776406,0.301970524,-7.626383144
MPZL2,0.160782235,6.562968236,1.108288142,0.269226072,0.308016214,-7.630495792
LRG1,0.203300528,5.387961343,1.105962846,0.270228545,0.30909858,-7.652956043
NELFB,0.068286916,6.476452077,1.099146269,0.273182142,0.31234661,-7.644262755
AC005332.6,0.112675721,4.817857419,1.096033815,0.274538133,0.31383151,-7.497749407
SRSF3,0.059240829,6.796699785,1.094793392,0.275079833,0.314385149,-7.633565351
AEBP1,0.203373757,7.512810202,1.091051289,0.276718488,0.316014432,-7.593274612
XPO7,0.075769651,5.187450431,1.089221661,0.277522113,0.316845938,-7.661690614
PRR15L,0.219810808,6.639499047,1.086230959,0.278839164,0.318084484,-7.651038979
CAPN8,0.259858356,4.587860038,1.082344917,0.280556902,0.319844209,-7.299307389
STRN4,0.08134699,4.983041579,1.07265025,0.284873756,0.324630472,-7.625874641
ARF3,0.06709498,7.07737809,1.072173983,0.28508699,0.324805909,-7.641836216
RPS20,0.099201444,8.482547836,1.066935564,0.287439516,0.327394922,-7.560814312
SNCG,0.27116178,4.84238465,1.066848085,0.287478914,0.327394922,-7.548032344
ERP29,0.082636227,7.696474484,1.065594368,0.288043953,0.327970245,-7.607924342
RPL13AP5,0.153605395,5.546507832,1.057821467,0.291563982,0.331702462,-7.706014828
C9orf16,0.100410294,5.946564731,1.057006883,0.291934554,0.332055101,-7.704599748
CLTA,0.067543861,7.24825288,1.056451537,0.292187377,0.33227369,-7.647976912
SC5D,0.141538393,4.808472317,1.052833874,0.293837953,0.334012064,-7.53664833
MRPL57,0.084596599,5.774453625,1.051297763,0.294540716,0.334695495,-7.713564666
MRPL23,0.089999308,4.698104067,1.051252682,0.294561357,0.334695495,-7.441272069
YES1,0.095353858,5.432718549,1.050964202,0.294693468,0.334776178,-7.712575237
SUCLG1,0.068244509,5.683990213,1.049989316,0.295140218,0.33521419,-7.715063876
TTC1,0.065060932,6.353086353,1.049847946,0.29520504,0.335218324,-7.70148583
CUEDC2,0.065451383,6.638672554,1.046496739,0.296744476,0.336826804,-7.69338921
CCL13,0.269583247,5.030030335,1.04551042,0.297198589,0.337132726,-7.673147041
MYO6,0.094462398,5.367420987,1.039033055,0.300192479,0.340232672,-7.724370453
FOXP4,0.107811832,5.506008382,1.038926656,0.300241826,0.340232672,-7.725569203
C1orf210,0.124405639,5.378164378,1.036876609,0.301193689,0.341240741,-7.726752914
AC016596.2,0.123130271,4.848434497,1.034802857,0.302158619,0.342263195,-7.586105564
CUL1,0.049317734,5.857911829,1.01642915,0.310798561,0.351468589,-7.748543314
ELL2,0.115024032,5.393307377,1.009991646,0.313864209,0.354569484,-7.75441356
SERF2,0.095426914,5.975219177,1.001461704,0.317957111,0.358971155,-7.760971923
C6orf62,0.056585582,7.726439788,1.000783918,0.318283838,0.359265996,-7.672753916
CDR2L,0.111791424,4.833115466,0.996747074,0.320234388,0.361393247,-7.613300348
MED29,0.059048353,5.878863207,0.994465731,0.321340181,0.362411433,-7.770228668
PTTG1IP,0.077697269,8.527666878,0.990853397,0.323096259,0.364172887,-7.636658083
PAM,0.112263859,6.34741692,0.988442613,0.324271726,0.365422622,-7.764182987
STC1,0.21287996,4.223709455,0.987918145,0.324527821,0.365636013,-7.041165698
CWC22,0.060433988,4.89005526,0.987602709,0.324681911,0.365724285,-7.662452622
RIOK3,0.077772227,5.803472581,0.987484499,0.324739669,0.365724285,-7.778306592
NSA2,0.075366994,5.565464054,0.984904994,0.326001701,0.367070144,-7.780541004
CPE,0.19663276,6.457054373,0.981859427,0.327495889,0.368449687,-7.766911229
DHRS7,0.095442888,6.002241371,0.979096005,0.328855527,0.369827469,-7.78239254
TEAD2,0.112357431,5.307735869,0.972884332,0.331925195,0.372973368,-7.789526308
HNRNPUL1,0.063185362,6.813819082,0.965827986,0.335434862,0.376762528,-7.765365407
TSPAN15,0.100896069,6.585202293,0.961281453,0.337708925,0.379161311,-7.781434262
MIR1244-2,0.097919437,6.394602124,0.960605728,0.338047757,0.379463974,-7.789783695
PGAP3,0.102231361,5.443748606,0.957429502,0.339643373,0.381150572,-7.806519834
ZFAND1,0.082825559,4.855680786,0.954574122,0.341081958,0.382399846,-7.671086805
IGSF8,0.103658305,6.078793833,0.94732419,0.344752235,0.386119684,-7.810945487
SPTSSA,0.124548385,7.353725286,0.94632652,0.345259287,0.386608549,-7.751333898
POLE4,0.083115117,5.643490763,0.942941632,0.346983179,0.38814227,-7.821496713
RPL26,0.096854166,5.016861265,0.938198001,0.349408345,0.390399293,-7.774798206
PHLDA1,0.160765018,4.675759958,0.937585531,0.349722258,0.390647962,-7.532879601
CLIC6,0.248603585,5.654459042,0.929448948,0.353909659,0.39516426,-7.834185518
VPS41,0.05782631,5.008735171,0.928232966,0.354538184,0.395785394,-7.781060449
AC113935.1,0.107306125,5.703901758,0.92291231,0.357296713,0.398702381,-7.840393092
AGRN,0.120781785,6.404048797,0.919708049,0.35896454,0.400318892,-7.827911084
LIN7C,0.065808121,4.784851507,0.898078264,0.370351644,0.412514059,-7.668332581
RTF2,0.043308799,5.781274755,0.897805854,0.370496483,0.41259151,-7.863043292
GNA15,0.10144145,4.859696566,0.896706254,0.371081497,0.413159016,-7.727517655
COL4A1,0.150299445,6.392583082,0.89491017,0.372038298,0.414140154,-7.850807585
NBN,0.07402603,5.119005862,0.887009335,0.376265487,0.418760635,-7.850970559
FAM3A,0.075171697,4.959120691,0.881776483,0.379081611,0.421809129,-7.800762394
BSG,0.067725335,8.69790343,0.879885893,0.380102264,0.422687295,-7.731435683
KRT7,0.158349121,8.165901275,0.878622657,0.380785181,0.423360797,-7.760553616
FOXJ3,0.064422022,5.001784436,0.876916336,0.38170884,0.42430163,-7.824682163
TNRC18,0.097944303,5.270947123,0.874939769,0.382780519,0.425406585,-7.878560393
LY96,0.123585771,6.020650659,0.874608664,0.382960223,0.425519988,-7.878759393
YY1,0.038858598,5.529987847,0.874137279,0.383216153,0.425718026,-7.883293996
SRSF11,0.06753607,5.522027917,0.868128965,0.386487504,0.429178159,-7.888486701
PFN1,0.053204602,9.472451773,0.864805461,0.388304415,0.431021048,-7.700005998
MAPK14,0.048021646,5.263583558,0.863529734,0.389003227,0.431709274,-7.888120559
SNHG32,0.107263236,4.657738571,0.855487722,0.393426194,0.436087825,-7.588933712
RNF135,0.061412728,5.329422969,0.8515306,0.395613772,0.438246636,-7.90090179
TMEM205,0.072749494,5.195750284,0.848499639,0.397294352,0.440019356,-7.895758498
LZTS3,0.11028359,4.616062759,0.845166393,0.399147544,0.441982496,-7.556199058
LYAR,0.069494004,4.758030039,0.83934528,0.402396474,0.445310095,-7.696508754
MAML1,0.060089113,4.873751245,0.836099398,0.404215018,0.447051692,-7.789877603
EIF4G2,0.046630164,8.629000163,0.835456001,0.404576077,0.447360711,-7.773243011
PTP4A2,0.049247854,6.819063808,0.829766195,0.407777517,0.450627877,-7.88727686
AKR1C3,0.258789582,5.190985973,0.828077508,0.4087306,0.45159003,-7.912367436
SURF1,0.063709513,6.290938517,0.827656665,0.408968328,0.451761587,-7.91182914
PARP9,0.066381097,5.251937917,0.825163442,0.410378419,0.453227849,-7.919897483
TMEM50A,0.0413633,7.259139959,0.824486493,0.410761783,0.4535209,-7.865404082
GET3,0.062127756,7.128316769,0.824402591,0.410809313,0.4535209,-7.873641118
DHCR7,0.089070885,5.807362969,0.820697807,0.412911315,0.455657824,-7.929099306
VKORC1L1,0.058395488,5.865003288,0.820350787,0.413108535,0.455783662,-7.928525987
MFSD10,0.078581584,6.3779821,0.820146652,0.413224575,0.455819901,-7.915456975
PRSS23,0.122106029,5.235685988,0.81747479,0.414745192,0.457313123,-7.925244176
ATP6V1G1,0.052223733,6.726807959,0.806685979,0.420919191,0.463654252,-7.911135413
MOB1A,0.042964061,6.518812279,0.798612452,0.42557473,0.46859404,-7.927604321
GLOD4,0.043663056,5.035083277,0.796745951,0.426655332,0.469689484,-7.904067553
RPS15,0.08004934,8.181451028,0.792827202,0.428929314,0.471813635,-7.831467832
MRPS14,0.044955672,5.093528113,0.791340776,0.429793717,0.472477893,-7.925633745
SBF1,0.084266388,4.724410477,0.790331391,0.430381288,0.472936036,-7.706128365
LAMC2,0.163961413,6.483539538,0.782446822,0.434987105,0.477805603,-7.941876459
SLC20A2,0.088987475,4.960763757,0.780708935,0.436006147,0.47882896,-7.885682597
TRIP4,0.049679765,4.880507071,0.779790502,0.436545248,0.479324933,-7.839951224
NCLN,0.057411142,5.952331385,0.779015937,0.437000202,0.479728332,-7.959681232
PSPHP1,0.376494343,2.900153859,0.778196546,0.437481784,0.480160797,-6.316936388
COX4I1,0.061835912,7.197978192,0.775014486,0.439354903,0.482023531,-7.908878207
PRDX6,0.057728176,8.417784818,0.77444113,0.439692902,0.482245818,-7.833429571
ABRAXAS2,0.039281756,4.800780761,0.774115303,0.439885047,0.482315424,-7.785065842
UQCRB,0.059015692,4.860367419,0.771844944,0.441225261,0.483688116,-7.832247831
PRKCI,0.081098858,5.340658697,0.765245153,0.445134546,0.487778435,-7.971010069
PBDC1,0.043088186,5.99460783,0.75352311,0.452126785,0.494945585,-7.978141111
DDX39B,0.1166848,4.541496949,0.744886857,0.457318147,0.500428625,-7.560271044
DCAF7,0.052562572,6.245804609,0.740240891,0.460124801,0.503298819,-7.981640839
ITFG1,0.050295881,4.755057705,0.73843806,0.461216514,0.504392271,-7.773568461
GRK2,0.055400521,5.894822107,0.737415519,0.461836367,0.504969358,-7.992646058
EIF3K,0.055088157,7.276183488,0.736700526,0.462270065,0.505241909,-7.932935077
TPM1,0.089975228,4.811685818,0.732770555,0.464657987,0.507446902,-7.824968572
SIVA1,0.070842247,5.11752168,0.728638569,0.467176102,0.509892004,-7.978776203
RPS13,0.06536569,8.927906613,0.722499591,0.470931368,0.513581403,-7.84502083
MMP2,0.117475492,7.449919722,0.717146217,0.474219738,0.516858951,-7.935661441
ANGPTL2,0.11645996,5.449401006,0.710476036,0.478334713,0.521136587,-8.012703775
EMD,0.044964442,6.480912319,0.710133218,0.478546735,0.521263929,-7.996046154
GPR160,0.114847153,4.575440229,0.705477333,0.481431372,0.524197632,-7.623429321
RBM42,0.054334432,6.609503759,0.703006948,0.48296581,0.525763892,-7.995409533
EIF4H,0.036117165,6.959879287,0.700756799,0.48436578,0.527172755,-7.978159129
HECTD1,0.061612047,5.251807748,0.700617656,0.484452422,0.527172755,-8.015061808
NDUFA3,0.05130464,5.564831645,0.694395374,0.488335625,0.531081955,-8.024676862
ENDOD1,0.102598562,5.559238946,0.693274026,0.489037231,0.531633927,-8.02542073
ABCC1,0.07346992,5.037413201,0.690494234,0.490778855,0.533209864,-7.98400651
RBM3,0.058456739,7.121446787,0.687935604,0.492384879,0.534848682,-7.977422578
MPDU1,0.05676058,5.908303917,0.687589635,0.492602258,0.534978746,-8.027933257
CCDC80,0.135092323,4.90688139,0.683889814,0.494930166,0.537400393,-7.926789841
RBPJ,0.047918409,5.388708345,0.682862647,0.495577505,0.537996661,-8.031471215
PPP2CA,0.034660428,6.118389729,0.681887047,0.496192767,0.538557878,-8.0263863
TMEM184B,0.055618232,5.489404492,0.680602408,0.49700355,0.539331045,-8.033749557
PMVK,0.056475007,7.264009622,0.680114064,0.497311948,0.539452022,-7.973884287
TMEM30B,0.05525959,5.827176683,0.674034561,0.50115986,0.543303299,-8.03864454
RPL10P9,0.200049472,4.50536497,0.672891618,0.501885037,0.543981823,-7.574543178
MBD6,0.068435762,4.754522912,0.672172076,0.502341861,0.544369275,-7.819914054
SLC25A43,0.056995153,4.970006262,0.667770429,0.505141206,0.546970093,-7.972178123
P4HA2,0.067917973,4.70947503,0.666610056,0.505880554,0.54766243,-7.782474595
TOX4,0.033592824,5.185852615,0.666281589,0.506089946,0.54778088,-8.032876103
PLAUR,0.095767047,5.768170251,0.663085106,0.508130044,0.549880409,-8.046581206
KLHDC3,0.048003387,7.098859127,0.662847077,0.508282136,0.549936379,-7.995782455
BABAM2,0.039658422,4.902212585,0.656024832,0.512651508,0.554335427,-7.942682444
HMCES,0.039233771,5.995833923,0.654054096,0.513917349,0.555484939,-8.048263908
ITGB1,0.067239683,6.505302843,0.651384553,0.51563466,0.557011495,-8.03512325
MAPKAP1,0.029741601,5.004583576,0.650905881,0.515942906,0.557234611,-7.998717206
CMTM3,0.081282945,5.7145167,0.648463351,0.517517299,0.558824848,-8.056327691
BMI1,0.056031416,4.913529297,0.648011274,0.51780897,0.559029625,-7.954688528
DNAJB9,0.065303407,6.274958069,0.647319049,0.518255748,0.559401742,-8.045497311
NCOA5,0.043462282,5.501359962,0.644361961,0.520166578,0.561022182,-8.057880195
S100A6,0.112770033,11.88040493,0.643735239,0.520572027,0.561348974,-7.743748218
PPRC1,0.05969975,4.923046899,0.642723381,0.521226981,0.561944634,-7.963658019
PLPPR2,0.054775088,4.740148757,0.63757755,0.524564374,0.565209087,-7.829745472
PIP4P1,0.033726329,4.93715799,0.628132536,0.530718653,0.571503047,-7.980943468
SSU72,0.034801161,5.923422265,0.626672385,0.531673361,0.572418617,-8.067706014
NAP1L1,0.042227313,6.035589139,0.62213028,0.53464878,0.575395928,-8.067627925
MYO1D,0.064051481,5.807575229,0.620570867,0.535672262,0.576271024,-8.073599782
PTGES3P1,0.051433535,4.720388866,0.613351284,0.540423593,0.581154243,-7.82682371
UCP2,0.082095634,7.311128745,0.612282852,0.541128548,0.581798138,-8.014783229
FGA,0.27989009,3.781041662,0.6031537,0.547170812,0.587717875,-6.988027662
NUDCD3,0.039030868,5.162168899,0.600400616,0.548999568,0.589451035,-8.071607809
JCHAIN,0.167915349,9.202891202,0.595098028,0.552530396,0.593009606,-7.913267797
TACSTD2,0.097340064,8.756952936,0.593655977,0.553492553,0.59392591,-7.93945419
SUMO3,0.043811584,7.10740695,0.58824893,0.557107564,0.597337053,-8.04205198
UBA52,0.042931816,8.076805867,0.58140175,0.561701988,0.601792176,-7.982869654
SS18,0.04935586,5.420985853,0.579635836,0.562889896,0.602829113,-8.097107988
PHACTR4,0.050133138,4.662628749,0.578961343,0.563343942,0.603197471,-7.792336345
GPC1,0.082059632,4.656919372,0.56722805,0.571270756,0.610968665,-7.793476375
HRAS,0.048396025,5.320429608,0.563213667,0.573995041,0.61343071,-8.105004976
GRAMD4,0.058008029,5.201981394,0.563175945,0.57402067,0.61343071,-8.098222838
GIGYF1,0.06456157,4.626633041,0.561663814,0.575048478,0.614289454,-7.766528027
NDUFB6,0.041340265,6.142445626,0.557328619,0.577999998,0.617322025,-8.10316992
MEAF6,0.037901274,5.260903842,0.554543196,0.579900176,0.619230766,-8.107492462
FDPS,0.042803231,5.231883555,0.551186583,0.582193928,0.621195819,-8.107619323
PON3,0.109138284,4.631813618,0.537548112,0.591557494,0.631063767,-7.785009253
AP1B1,0.036187592,6.069008745,0.535625772,0.592882878,0.631985326,-8.116962713
DUT,0.040310784,5.097842876,0.535458755,0.592998094,0.631985326,-8.096856903
CUEDC1,0.049851074,4.915037133,0.533705635,0.594208111,0.633028629,-8.023305595
AP2M1,0.037282893,7.615225892,0.532439693,0.595082581,0.633836987,-8.039924489
GATAD2A,0.037077581,5.190375912,0.528208091,0.598009918,0.636656353,-8.116105173
EDEM2,0.036644897,6.635989099,0.528109555,0.598078162,0.636656353,-8.102081668
GSPT1,0.029095853,6.209631962,0.516709518,0.605997508,0.644710746,-8.123403709
NDUFS4,0.039758239,6.403851531,0.514255951,0.607708114,0.646405117,-8.119146229
GRIPAP1,0.046906304,4.691853014,0.49901418,0.618382831,0.656739588,-7.863688992
S100A14,0.10724455,8.223854426,0.498010432,0.619088709,0.657361828,-8.019894147
EXT2,0.030706573,4.786301535,0.495814243,0.620634394,0.658747894,-7.950366872
SPCS3,0.031846783,6.205049539,0.495814041,0.620634537,0.658747894,-8.134132347
CSK,0.035800987,5.607343664,0.493988459,0.621920676,0.659857355,-8.144398592
CORO2A,0.057468661,4.741982486,0.48967958,0.624960935,0.662447666,-7.914989984
EBP,0.048348044,5.021156984,0.489671565,0.624966597,0.662447666,-8.097132503
FAM210B,0.042596958,6.209650133,0.478361907,0.632977064,0.670160645,-8.142550066
EIF4E2,0.02435073,5.114822271,0.476546867,0.634266716,0.671266629,-8.13057069
ADCK2,0.035253602,4.798163715,0.474502977,0.635720315,0.672675088,-7.970446715
TRAFD1,0.032398563,5.604463067,0.473976356,0.636095073,0.67294167,-8.154100315
ELOVL1,0.031357029,7.027915681,0.469700173,0.6391416,0.676034136,-8.109758706
TM9SF2,0.031912661,7.293860817,0.467156002,0.640957091,0.677692764,-8.094481132
CALM2,0.033757223,7.954279453,0.466758989,0.641240592,0.677861702,-8.050366242
CD63,0.041310894,10.1682307,0.463154809,0.643816681,0.680191207,-7.927996249
PNPLA8,0.032886823,4.888890761,0.462029905,0.644621594,0.680910297,-8.043204255
FAU,0.039183384,8.710327712,0.455872196,0.649035099,0.685308019,-8.014513585
PPP1R13L,0.048314504,4.582366037,0.454921471,0.64971764,0.685896522,-7.776145415
FLNB,0.055139883,5.88234109,0.445072456,0.656805768,0.693245772,-8.166236434
UBE2L3,0.022987798,6.167894733,0.443607177,0.657862985,0.694227907,-8.159658772
HS6ST1,0.048556128,4.629109934,0.441912077,0.659086881,0.695251641,-7.82927632
TES,0.04125682,6.504253505,0.440096124,0.660399058,0.696501721,-8.15084304
SMIM30,0.034759108,5.942375981,0.439510216,0.66082265,0.696814338,-8.167338116
SZRD1,0.023427232,6.113190977,0.433994246,0.664815872,0.700755321,-8.165257594
RBM10,0.035926927,5.647261225,0.42983819,0.667830956,0.703798001,-8.174386928
NUB1,0.025831338,5.618802308,0.427129415,0.669799002,0.705464962,-8.175382469
MX1,0.067319225,4.951685996,0.42541218,0.671047836,0.706644454,-8.095866502
TMEM179B,0.028965399,5.798143903,0.421530505,0.673874102,0.709467493,-8.177766221
NINJ1,0.040653825,6.238655512,0.421374697,0.673987644,0.709467493,-8.16755867
TSPYL5,0.075525126,4.403009013,0.415536514,0.678247476,0.713129518,-7.612143191
ZFP91,0.025240027,5.418574679,0.4123871,0.68054977,0.715107228,-8.180338399
TRAC,0.069903123,6.302317656,0.411907049,0.680900963,0.715233201,-8.169846624
ABI1,0.022037417,5.902819384,0.40422902,0.686527447,0.720728852,-8.183231364
HPN,0.075213168,4.818153837,0.401499429,0.688531948,0.72269474,-8.01847973
PGRMC1,0.02552105,7.813532253,0.40093036,0.688950128,0.722856712,-8.087964746
RPL3,0.031667555,10.12372741,0.398351488,0.690846409,0.724707539,-7.958333608
SSNA1,0.031152407,6.906213835,0.392940214,0.69483175,0.728609216,-8.150109356
WDR1,0.022736948,7.100155,0.391080925,0.696203067,0.729907502,-8.139374485
RPL18AP3,0.066764764,5.539285909,0.386462706,0.699613558,0.733062285,-8.191461886
SLC44A4,0.08699807,6.272340241,0.384967996,0.700718695,0.734079872,-8.181428829
ECE1,0.045379423,6.54923669,0.382792919,0.702328013,0.735625155,-8.172573373
MGAT5,0.040687883,4.955411331,0.38105296,0.703616362,0.736552168,-8.115754508
LETMD1,0.032240471,4.703961862,0.379647249,0.704657845,0.737501496,-7.9278031
CYP1B1,0.074514819,5.000787437,0.377961007,0.705907908,0.738668722,-8.138063643
PSME3IP1,0.018689689,5.511303334,0.376662482,0.70687109,0.739253045,-8.195057835
IFT52,0.027371677,5.279367729,0.374645037,0.708368471,0.74039505,-8.19228029
PRR13,0.024850418,5.996344613,0.371674806,0.710575094,0.742289341,-8.193557631
RNF19B,0.02855642,6.073163532,0.371658441,0.710587259,0.742289341,-8.191512868
ACTN1,0.041257523,5.878478532,0.367559513,0.713636443,0.745048413,-8.197932206
RSL24D1,0.033288929,5.439233505,0.366932275,0.714103453,0.745393945,-8.19828203
SRRM1,0.026311303,5.163926613,0.365400763,0.715244193,0.746442463,-8.185743558
SETD7,0.031132589,4.662041192,0.364985695,0.715553465,0.746605681,-7.89306455
TCEA3,0.06147606,5.35758031,0.363399326,0.716735921,0.747572075,-8.198729356
STARD3,0.027152929,5.028696056,0.358808273,0.720161876,0.751002459,-8.155552794
ACOT7,0.038310756,4.798736336,0.357646924,0.721029405,0.751621025,-8.019707006
GADD45G,0.062702299,4.826103289,0.354547689,0.723346306,0.753749412,-8.042518734
PDZK1IP1,0.083190959,6.556627405,0.352980062,0.724519196,0.754828042,-8.183256996
UBN1,0.026497445,4.802171849,0.34526956,0.730297599,0.760125484,-8.026841783
PLEC,0.045943351,6.335062579,0.343483815,0.731638091,0.761086976,-8.194867123
RPL7P9,0.043200007,4.693601542,0.342913112,0.73206667,0.761243744,-7.931288431
IDH3B,0.022584686,6.174313883,0.336899148,0.736588066,0.765800003,-8.20131223
DNAJC5,0.024612728,6.102115697,0.334761154,0.738197672,0.767182293,-8.203841743
CMTR1,0.01900444,5.183046855,0.330881317,0.741121593,0.77007495,-8.200328113
HPF1,0.021949296,5.226011981,0.330598826,0.741334632,0.770150256,-8.204810251
PUM2,0.019222894,6.091851694,0.325872937,0.744901582,0.77370915,-8.207057138
KEAP1,0.025657365,5.933390048,0.322498545,0.74745185,0.776068655,-8.212327336
ORMDL1,0.020144428,4.848881265,0.319417823,0.749782609,0.778188845,-8.071524772
GLT8D1,0.017064604,5.28257762,0.317026674,0.751593252,0.779920346,-8.212432161
C15orf39,0.024807581,4.687878586,0.310342995,0.756661609,0.785031046,-7.93652261
MISP,0.057750071,5.690552862,0.302605715,0.762542127,0.790682875,-8.221343502
CASP4,0.028870658,5.31689073,0.301886531,0.763089432,0.791100662,-8.218365005
PURB,0.024727042,4.7888696,0.301521784,0.763367054,0.79123876,-8.030235262
SERTAD2,0.029964903,4.722097564,0.298151611,0.765933656,0.793598809,-7.972525873
CSNK1G2,0.0224764,5.499720891,0.292227324,0.770451649,0.797676604,-8.223357793
CHMP2A,0.018328226,7.228533318,0.291547593,0.770970533,0.798063018,-8.165541944
SDE2,0.020006468,5.114428255,0.291032686,0.771363665,0.798319139,-8.201977218
IRF2BP1,0.026802285,5.062393738,0.287897445,0.773758697,0.800344327,-8.189607032
LSM14A,0.018231723,6.404399423,0.283235367,0.777324103,0.803880476,-8.211610109
CEBPG,0.023536039,5.215317745,0.281132368,0.778933963,0.805393316,-8.219080531
AHCYL1,0.015417367,6.743485282,0.28066095,0.779294967,0.805614552,-8.19705977
RNF19A,0.032172607,5.521704466,0.279168494,0.780438185,0.806569882,-8.227223227
SMIM14,0.026866421,6.268299545,0.279070182,0.780513509,0.806569882,-8.216845669
MT-RNR1,0.037241237,10.80646254,0.276831275,0.78222945,0.808190677,-7.965323762
AMIGO2,0.05010003,5.318321891,0.265848871,0.790661915,0.815979776,-8.228683687
TMEM248,0.013672244,6.730963777,0.260018184,0.795148941,0.820147035,-8.203325432
EBPL,0.02621902,5.838368039,0.258682201,0.79617802,0.8210539,-8.232860415
ATAD1,0.017300563,5.195507929,0.254247944,0.799596188,0.824268582,-8.224280767
FRG1BP,0.034964416,5.031758037,0.253732476,0.799993792,0.824523323,-8.188953884
HTRA1,0.033814879,6.848561942,0.251048979,0.802064536,0.826502086,-8.199251751
VPS29,0.01872158,5.81860912,0.241653602,0.809325522,0.833200777,-8.237417518
GPRC5C,0.038308869,4.849330164,0.229540842,0.818710967,0.842230076,-8.096628785
CHMP7,0.014107463,5.134915693,0.228353157,0.819632667,0.84301997,-8.22205652
CDH11,0.035822218,4.570676668,0.224475082,0.822643983,0.845799659,-7.842841545
ATP6V1F,0.0203543,7.905471128,0.222925217,0.82384819,0.846878843,-8.137807899
EXOC2,0.013590328,4.776698053,0.221701152,0.824799554,0.847697759,-8.041080169
TENT5A,0.028890084,4.652407054,0.215140391,0.829903077,0.852623094,-7.927228392
KCTD20,0.014030191,5.658062583,0.210511094,0.833508515,0.856006215,-8.244965413
MICOS13,0.020233116,6.184756962,0.208537244,0.835046889,0.857425395,-8.236219505
MORN2,0.022092522,5.011354786,0.207210048,0.836081634,0.858166218,-8.192340082
KIAA0100,0.016821052,5.510964464,0.206195203,0.836873048,0.858641301,-8.244954805
TEX261,0.012003623,6.126978611,0.206013666,0.837014635,0.858641301,-8.238173116
WDFY1,0.013684303,4.890842214,0.203173938,0.839230127,0.860591777,-8.13088581
CHMP5,0.014805652,7.044267117,0.19916014,0.84236379,0.863643564,-8.199634695
