probe	avg_expr_SC	avg_expr_SNC	avg_expr_NS	fdr_SC_NS	ttest_SC_NS	fdr_SNC_NS	ttest_SNC_NS	gene
213274_s_at	8.19	8.2	7.81	0.026	0.001	0.046	0.001	CTSB
209719_x_at	11.28	11.59	12.3	0.058	0.003	0.027	0	SERPINB3
219627_at	6.03	6.18	6.53	0.248	0.048	0.083	0.005	ZNF767
201080_at	6.62	6.62	6.99	0.118	0.01	0.099	0.008	PIP4K2B
202831_at	9.35	9.69	8.02	0	0	0.003	0	GPX2
209442_x_at	7.32	7.61	8.08	0.204	0.032	0.058	0.002	ANK3
200817_x_at	12.58	12.45	12.93	0.093	0.007	0.202	0.034	RPS10
204735_at	7.2	6.92	7.49	0.013	0	0.202	0.034	PDE4A
211990_at	9.57	9.92	10.54	0.182	0.026	0.026	0	HLA-DPA1
200933_x_at	12.06	12.08	12.74	0.04	0.001	0.039	0.001	RPS4X
214736_s_at	7.51	7.7	8.56	0.007	0	0.006	0	ADD1
212988_x_at	11.96	12.1	12.49	0.177	0.024	0.094	0.007	ACTG1
218845_at	8.49	8.15	7.78	0.142	0.015	0.027	0	DUSP22
205372_at	5.41	4.53	5.92	0.029	0.001	0.348	0.102	PLAG1
208714_at	9.01	8.98	9.48	0.075	0.004	0.108	0.01	NDUFV1
204326_x_at	9.87	9.49	10.4	0.008	0	0.111	0.01	MT1X
218599_at	7.99	8.15	8.45	0.075	0.004	0.045	0.001	REC8
64942_at	8.28	8.04	7.4	0.073	0.004	0.035	0.001	GPR153
206825_at	7.38	7.09	8.31	0.05	0.002	0.136	0.015	OXTR
214742_at	5.03	5.05	6.01	0.107	0.008	0.072	0.004	AZI1
221829_s_at	10.43	9.75	9.35	0.407	0.138	0.046	0.001	TNPO1
200663_at	11.4	11.27	11.1	0.355	0.102	0.079	0.005	CD63
209523_at	6.17	6.25	5.67	0.052	0.002	0.08	0.005	TAF2
41047_at	8.82	8.33	7.99	0.17	0.022	0.009	0	C9orf16
200953_s_at	7.19	6.94	7.7	0.018	0	0.111	0.01	CCND2
203655_at	5.88	5.78	6.44	0.073	0.004	0.196	0.032	XRCC1
203236_s_at	6.77	7.19	7.48	0.443	0.166	0.08	0.005	LGALS9
218346_s_at	7.14	7.08	7.67	0.002	0	0.102	0.008	SESN1
218868_at	4.97	5.09	5.91	0.004	0	0.02	0	ACTR3B
213471_at	6.14	6.19	6.66	0.011	0	0.071	0.004	NPHP4
1598_g_at	8.47	8.35	8.99	0.053	0.002	0.091	0.007	GAS6
212931_at	7.78	7.77	8.58	0.082	0.005	0.082	0.005	TCF20
214548_x_at	10.41	10.76	11.47	0.136	0.014	0.047	0.002	GNAS
44783_s_at	10.05	9.32	9.86	0.09	0.006	0.646	0.382	HEY1
210276_s_at	6.77	7.05	7.44	0.296	0.068	0.047	0.001	TRIOBP
204287_at	6.32	6.12	6.77	0.051	0.002	0.153	0.019	SYNGR1
212361_s_at	7.22	7.6	8.36	0.092	0.006	0.043	0.001	ATP2A2
200809_x_at	11.82	11.97	12.71	0.072	0.004	0.038	0.001	RPL12
209789_at	5.8	5.24	6.42	0.07	0.004	0.273	0.061	CORO2B
202308_at	7.27	7.05	7.74	0.074	0.004	0.202	0.034	SREBF1
205022_s_at	6.6	6.73	7.58	0.01	0	0.09	0.007	FOXN3
213359_at	5.22	6.06	6.25	0.683	0.42	0.062	0.003	HNRNPD
212852_s_at	8.17	8.32	8.68	0.14	0.015	0.098	0.008	TROVE2
201331_s_at	9.1	8.96	9.48	0.041	0.001	0.114	0.011	STAT6
211991_s_at	7.69	8.88	9.23	0.618	0.336	0.032	0.001	HLA-DPA1
202746_at	6	5.32	6.41	0.04	0.001	0.429	0.157	ITM2A
204295_at	9.01	8.66	8.43	0.418	0.146	0.059	0.003	SURF1
221850_x_at	7.36	7.47	8.08	0.067	0.003	0.038	0.001	CTGLF1
211975_at	8.47	8.2	8.66	0.083	0.005	0.514	0.232	ARFGAP2
201173_x_at	9.89	9.68	10.12	0.03	0.001	0.332	0.093	NUDC
212537_x_at	11.23	11.24	11.84	0.059	0.003	0.066	0.003	RPL17
211208_s_at	7.63	7.5	7.08	0.045	0.002	0.043	0.001	CASK
200754_x_at	8.7	9.32	9.91	0.182	0.025	0.026	0	SFRS2
218456_at	6.38	6.17	6.88	0.067	0.003	0.18	0.026	CAPRIN2
203278_s_at	5.57	5.59	6.57	0.079	0.005	0.076	0.004	PHF21A
220417_s_at	7.08	7.3	7.81	0.145	0.016	0.04	0.001	THAP4|LOC728944
200612_s_at	7.64	7.86	7.13	0.01	0	0.051	0.002	AP2B1
219675_s_at	6.3	6.68	6.14	0.08	0.005	0.707	0.46	UXS1
202713_s_at	8.01	7.71	7.41	0.313	0.077	0.037	0.001	KIAA0391
211855_s_at	4.7	5.34	5.78	0.304	0.072	0.064	0.003	SLC25A14
200082_s_at	10.37	10.49	11.21	0.118	0.01	0.065	0.003	RPS7|LOC644315
201480_s_at	7.5	7.46	8.03	0.098	0.007	0.123	0.013	SUPT5H
200732_s_at	7.82	7.83	7.28	0.051	0.002	0.067	0.003	PTP4A1
205870_at	6.48	6.64	7.24	0.07	0.004	0.096	0.007	BDKRB2
201125_s_at	7.92	7.63	8.24	0.002	0	0.116	0.011	ITGB5
203713_s_at	6.89	6.87	7.47	0.038	0.001	0.047	0.002	LLGL2
211996_s_at	7.91	8.61	9.46	0.165	0.02	0.024	0	LOC23117
210907_s_at	8.58	8.52	7.75	0.078	0.005	0.057	0.002	PDCD10
214924_s_at	9.72	9.56	9.95	0.03	0.001	0.317	0.083	TRAK1
209312_x_at	10.54	11.26	11.6	0.551	0.266	0.059	0.002	HLA-DRB1
210064_s_at	8.73	8.99	7.74	0.023	0	0.063	0.003	UPK1B
212109_at	7.87	7.45	8.05	0.045	0.002	0.536	0.255	HN1L
208718_at	10.71	10.84	11.25	0.086	0.006	0.056	0.002	DDX17
203757_s_at	9.94	10.64	9.65	0.027	0.001	0.605	0.328	CEACAM6
211799_x_at	9.02	9.61	10.14	0.402	0.134	0.032	0.001	HLA-C
211564_s_at	7.71	7.38	8.4	0.045	0.002	0.157	0.02	PDLIM4
205807_s_at	7.57	7.36	6.86	0.053	0.002	0.01	0	TUFT1
211383_s_at	7.18	6.98	7.36	0.059	0.003	0.291	0.069	WDR37
218040_at	5.1	5.05	5.82	0.074	0.004	0.107	0.009	PRPF38B
212716_s_at	9.55	9.3	9.72	0.029	0.001	0.463	0.185	EIF3K
204740_at	7.32	7.09	7.73	0.026	0.001	0.122	0.012	CNKSR1
214580_x_at	4.8	5.46	3.21	0.018	0	0.14	0.016	KRT6C|KRT6A|KRT6B
204970_s_at	5.36	6.21	6.09	0.786	0.575	0.096	0.008	MAFG|LOC644132
217739_s_at	6.32	6.72	5.69	0.019	0	0.147	0.017	NAMPT
202262_x_at	6.8	6.55	7.68	0.025	0	0.074	0.004	DDAH2
201266_at	8.8	9.3	8.28	0.04	0.001	0.285	0.067	TXNRD1
200635_s_at	8.01	7.96	8.55	0.092	0.006	0.124	0.013	PTPRF
208606_s_at	5.2	4.86	6.07	0.029	0.001	0.06	0.003	WNT4
35148_at	7.76	7.62	8.37	0.001	0	0.043	0.001	TJP3
208611_s_at	7.76	7.8	8.53	0.055	0.002	0.065	0.003	SPTAN1
213564_x_at	10.95	10.73	11.18	0.011	0	0.345	0.101	LDHB
201467_s_at	8.17	8.62	6.64	0.054	0.002	0.121	0.012	NQO1
219357_at	7.66	7.36	7.9	0.087	0.006	0.574	0.294	GTPBP1
211956_s_at	11.19	11.23	11.57	0.138	0.014	0.1	0.008	EIF1
221970_s_at	7.19	7.16	7.54	0.104	0.008	0.136	0.015	NOL11
200094_s_at	10.17	10.27	10.61	0.092	0.006	0.071	0.004	EEF2
210212_x_at	6.7	6.68	7.19	0.091	0.006	0.209	0.036	MTCP1
200980_s_at	7.81	7.93	8.28	0.103	0.008	0.04	0.001	PDHA1
203900_at	4.76	5.18	5.57	0.351	0.099	0.061	0.003	KIAA0467
221241_s_at	7.51	7.22	6.59	0.222	0.038	0.038	0.001	BCL2L14
210982_s_at	8.5	10.03	10.21	0.848	0.68	0.089	0.006	HLA-DRA
204690_at	8.13	7.82	7.79	0.911	0.807	0.101	0.008	STX8
215157_x_at	10.56	10.72	11.32	0.206	0.033	0.086	0.006	PABPC1
200789_at	7.56	7.84	8.45	0.041	0.001	0.035	0.001	ECH1
202116_at	6.51	6.28	7.11	0.027	0.001	0.076	0.004	DPF2
213075_at	6.43	6.42	7.08	0.061	0.003	0.056	0.002	OLFML2A
211965_at	6.48	6.04	7.01	0.069	0.004	0.189	0.029	ZFP36L1
202449_s_at	8.03	7.75	8.33	0.027	0.001	0.225	0.043	RXRA
823_at	7.56	7.44	8.22	0.002	0	0.009	0	CX3CL1
222146_s_at	5.47	5.93	6.6	0.108	0.009	0.043	0.001	TCF4
212365_at	7.55	7.8	7.14	0.007	0	0.102	0.009	MYO1B
208894_at	9.13	10.43	10.56	0.85	0.686	0.047	0.002	HLA-DRA
202135_s_at	7.82	8.06	8.31	0.2	0.03	0.035	0.001	ACTR1B
203359_s_at	8.68	8.41	7.8	0.236	0.042	0.096	0.007	MYCBP
201717_at	8.86	8.84	9.11	0.096	0.007	0.208	0.036	MRPL49
220798_x_at	6.41	5.86	6.99	0.022	0	0.271	0.06	PRG2
218193_s_at	5.96	5.95	5.11	0.058	0.003	0.059	0.003	GOLT1B
209529_at	8.55	8.85	9.4	0.135	0.014	0.045	0.001	PPAP2C
205384_at	6.95	6.49	7.6	0.066	0.003	0.307	0.078	FXYD1
209154_at	9.12	8.76	8.08	0.239	0.043	0.075	0.004	TAX1BP3
205244_s_at	4.68	4.33	6.03	0.081	0.005	0.157	0.02	SLC13A3
207180_s_at	6.85	7.15	6.43	0.033	0.001	0.193	0.031	HTATIP2
210076_x_at	7.19	7.04	6.3	0.154	0.018	0.094	0.007	SERBP1
200062_s_at	11.88	11.94	12.61	0.067	0.003	0.07	0.004	RPL30
203006_at	7.16	6.91	6.73	0.465	0.184	0.023	0	INPP5A
213530_at	5.44	5.67	6.15	0.106	0.008	0.075	0.004	RAB3GAP1
219876_s_at	5.76	5.65	6.73	0.026	0.001	0.035	0.001	GOLGA2L1
220408_x_at	6.73	7.09	7.1	0.961	0.91	0.096	0.007	FAM48A
201357_s_at	6.53	6.63	7.02	0.163	0.02	0.078	0.005	SF3A1
205043_at	5.38	5.48	6.63	0.04	0.001	0.02	0	CFTR
220547_s_at	8.25	7.92	7.77	0.631	0.351	0.081	0.005	FAM35A
200741_s_at	12.11	12.04	12.62	0.018	0	0.04	0.001	RPS27
207761_s_at	9.61	9.64	10.48	0.002	0	0.018	0	METTL7A
210966_x_at	8.33	8.39	8.83	0.068	0.003	0.04	0.001	LARP1
204580_at	5.26	5.63	4.87	0.101	0.008	0.481	0.199	MMP12
214746_s_at	6.52	6.87	6.17	0.097	0.007	0.448	0.173	ZNF467
208807_s_at	8.16	7.86	8.33	0.032	0.001	0.47	0.191	CHD3
207842_s_at	7.45	7.32	7.89	0.046	0.002	0.134	0.015	CASC3
218394_at	8.31	8.15	8.49	0.074	0.004	0.405	0.137	ROGDI
219956_at	8.7	8.53	7.76	0.116	0.01	0.066	0.003	GALNT6
205405_at	6.98	6.53	7.39	0.023	0	0.188	0.029	SEMA5A
210951_x_at	7.51	7.3	6.36	0.173	0.022	0.09	0.007	RAB27A
216526_x_at	12.35	12.57	13.16	0.097	0.007	0.03	0	HLA-C
203688_at	4.65	5	5.78	0.101	0.008	0.079	0.005	PKD2
222251_s_at	6.56	6.4	6.75	0.055	0.002	0.384	0.125	GMEB2
200086_s_at	9.85	9.51	9.47	0.854	0.692	0.047	0.001	COX4I1
221964_at	5.98	6.14	6.91	0.05	0.002	0.059	0.003	TULP3
220562_at	3.25	3.69	5	0.08	0.005	0.038	0.001	CYP2W1
218505_at	6.54	6.89	7.66	0.032	0.001	0.013	0	WDR59
209732_at	7.1	7.08	5.86	0.05	0.002	0.05	0.002	CLEC2B
217714_x_at	5.21	5.26	6.1	0.083	0.005	0.065	0.003	STMN1
200700_s_at	8.46	8.66	7.66	0.032	0.001	0.074	0.004	KDELR2
218819_at	6.63	6.03	5.27	0.182	0.025	0.038	0.001	INTS6
38487_at	6.93	7.08	6.43	0.075	0.004	0.195	0.032	STAB1
206249_at	5.15	5.13	5.84	0.086	0.006	0.067	0.003	MAP3K13
212104_s_at	6.12	6.26	6.88	0.074	0.004	0.078	0.005	RBM9
215193_x_at	9.95	10.72	11	0.6	0.316	0.043	0.001	HLA-DRB1
203907_s_at	6.26	6.52	7.2	0.08	0.005	0.058	0.002	IQSEC1
205750_at	6.29	6.19	6.77	0.054	0.002	0.094	0.007	BPHL
203306_s_at	7.17	7.07	6.42	0.138	0.014	0.081	0.005	SLC35A1
207244_x_at	6.24	5.87	7.61	0.03	0.001	0.073	0.004	CYP2A6
218533_s_at	5.77	5.97	6.77	0.037	0.001	0.056	0.002	UCKL1
200041_s_at	9.5	9.52	10.02	0.061	0.003	0.062	0.003	BAT1
203535_at	9.01	8.5	7.8	0.205	0.032	0.053	0.002	S100A9
218225_at	6.72	5.98	7.2	0.014	0	0.289	0.069	ECSIT
201373_at	6.79	7.04	7.69	0.177	0.024	0.062	0.003	PLEC1
201255_x_at	8.73	8.74	9.29	0.023	0	0.04	0.001	BAT3
201659_s_at	7.33	7.67	7	0.062	0.003	0.482	0.201	ARL1
202737_s_at	8.52	8.03	7.63	0.11	0.009	0.003	0	LSM4
200780_x_at	10.76	11.15	11.76	0.151	0.017	0.037	0.001	GNAS
209080_x_at	7.78	7.85	7.33	0.039	0.001	0.067	0.003	GLRX3
209639_s_at	5.11	5.16	6.45	0.032	0.001	0.032	0.001	RGS12
202957_at	7.95	7.97	7.2	0.029	0.001	0.038	0.001	HCLS1
221841_s_at	8.42	8.4	7.12	0.09	0.006	0.087	0.006	KLF4
213693_s_at	10.79	10.55	9.71	0.078	0.005	0.043	0.001	MUC1
204058_at	5.11	5.69	3.18	0.033	0.001	0.07	0.004	ME1
200641_s_at	7.79	8.12	7	0.028	0.001	0.111	0.01	YWHAZ
200989_at	8.24	7.98	7.04	0.15	0.017	0.079	0.005	HIF1A
204151_x_at	11.68	11.8	10.77	0.03	0.001	0.071	0.004	AKR1C1
203256_at	6.5	6.6	7.45	0.104	0.008	0.107	0.009	CDH3
213923_at	6.86	6.97	6.11	0.041	0.001	0.07	0.004	RAP2B
218313_s_at	7.59	7.81	6.96	0.062	0.003	0.132	0.014	GALNT7
219182_at	9.06	9.24	9.89	0.1	0.007	0.091	0.007	FLJ22167
215498_s_at	8.35	7.93	7.52	0.287	0.064	0.04	0.001	MAP2K3
212761_at	8.58	8.35	7.83	0.248	0.048	0.096	0.007	TCF7L2
221016_s_at	6.92	6.83	7.38	0.03	0.001	0.039	0.001	TCF7L1
208720_s_at	7.98	8.57	8.85	0.316	0.079	0.05	0.002	RBM39
222108_at	5.54	5.54	6.08	0.093	0.007	0.234	0.046	AMIGO2
202042_at	7.7	7.59	8.21	0.106	0.008	0.081	0.005	HARS
209556_at	6.28	5.9	6.76	0.074	0.004	0.273	0.061	NCDN
211043_s_at	8.76	8.17	8	0.678	0.412	0.048	0.002	CLTB
203021_at	12.77	12.84	13.88	0.128	0.012	0.103	0.009	SLPI
200088_x_at	11.83	11.83	12.52	0.062	0.003	0.059	0.003	RPL12
201361_at	7.9	7.81	8.1	0.097	0.007	0.26	0.056	TMEM109
203417_at	5.4	5.43	6.59	0.003	0	0.014	0	MFAP2
213096_at	6.02	5.72	6.77	0.038	0.001	0.081	0.005	TMCC2
221004_s_at	5.65	6.06	7	0.187	0.027	0.078	0.005	ITM2C
221187_s_at	7.21	7.09	7.48	0.064	0.003	0.216	0.039	FUZ
218069_at	8.35	7.99	7.76	0.492	0.207	0.053	0.002	XTP3TPA
209736_at	6.04	6.37	6.97	0.08	0.005	0.035	0.001	SOX13
212032_s_at	7.77	7.57	8.28	0.056	0.002	0.36	0.11	PTOV1
213361_at	6.89	7.16	7.31	0.482	0.198	0.051	0.002	TDRD7
212980_at	5.14	5.38	6.31	0.066	0.003	0.029	0	USP34
45572_s_at	9.96	9.72	10.22	0.018	0	0.229	0.044	GGA1
207783_x_at	12.84	13.09	13.91	0.104	0.008	0.046	0.001	HUWE1
217825_s_at	6.9	6.89	6.09	0.062	0.003	0.06	0.003	UBE2J1
204076_at	7.58	7.58	6.9	0.072	0.004	0.065	0.003	ENTPD4
200943_at	8.65	9.27	9.81	0.192	0.028	0.063	0.003	HMGN1
209270_at	7.83	7.8	8.59	0.107	0.008	0.101	0.008	LAMB3
218262_at	6.41	6.4	6.87	0.022	0	0.027	0	RMND5B
218809_at	8.6	8.22	7.99	0.496	0.212	0.104	0.009	PANK2
207801_s_at	7.69	7.65	7.39	0.167	0.021	0.09	0.006	RNF10
203136_at	9.1	8.83	8.52	0.387	0.123	0.1	0.008	RABAC1
214150_x_at	10.17	9.84	9.63	0.447	0.17	0.09	0.006	ATP6V0E1
217776_at	6.78	6.6	5.94	0.228	0.039	0.102	0.009	RDH11
201573_s_at	7.59	7.41	6.85	0.117	0.01	0.048	0.002	ETF1
200735_x_at	10.63	10.85	11.43	0.084	0.005	0.074	0.004	NACA
205499_at	6.74	7.15	6.27	0.087	0.006	0.411	0.142	SRPX2
209273_s_at	7.17	6.81	6.13	0.171	0.022	0.053	0.002	ISCA1
203687_at	6.82	6.78	7.9	0.004	0	0.01	0	CX3CL1
219797_at	4.66	4.66	3.77	0.048	0.002	0.04	0.001	MGAT4A
203728_at	6.94	6.52	6.23	0.536	0.251	0.093	0.007	BAK1
200941_at	9.3	8.94	8.64	0.284	0.063	0.053	0.002	HSBP1
200888_s_at	10.68	10.81	11.34	0.099	0.007	0.063	0.003	RPL23
209455_at	6.17	6.61	6.75	0.469	0.188	0.033	0.001	FBXW11
218298_s_at	6.37	6.57	7.32	0.002	0	0.014	0	C14orf159
218907_s_at	6.55	6.59	7.69	0.035	0.001	0.047	0.001	LRRC61
212914_at	6.79	6.59	7.61	0.009	0	0.061	0.003	CBX7
222068_s_at	9.26	9.55	10.77	0.001	0	0.009	0	LRRC50
201226_at	8.68	8.66	9.25	0.071	0.004	0.208	0.036	NDUFB8
203638_s_at	6.58	6.73	7.74	0.053	0.002	0.073	0.004	FGFR2
207126_x_at	8.03	8.54	7.94	0.025	0	0.91	0.8	UGT1A4
213377_x_at	12.17	12.19	12.84	0.065	0.003	0.065	0.003	RPS12
213029_at	7.67	7.63	8.21	0.027	0.001	0.047	0.002	NFIB
206262_at	7.56	8.06	8.52	0.399	0.13	0.102	0.009	ADH1A|ADH1B|ADH1C
203227_s_at	8.6	7.87	7.45	0.515	0.228	0.059	0.002	TSPAN31
211979_at	6.29	6.61	6.97	0.223	0.038	0.096	0.008	GPR107
211075_s_at	7.69	8.06	7.6	0.091	0.006	0.803	0.61	CD47
213784_at	7.46	7.54	7.88	0.151	0.017	0.099	0.008	RABL4
205206_at	7	6.97	8.29	0.008	0	0.021	0	KAL1
201550_x_at	12.06	12.3	12.69	0.228	0.04	0.078	0.005	ACTG1
204589_at	6.5	6.03	6.88	0.004	0	0.311	0.08	NUAK1
205260_s_at	5.37	5.94	6.56	0.08	0.005	0.057	0.002	ACYP1
202212_at	6.99	6.4	7.27	0.036	0.001	0.522	0.241	PES1
220426_at	6.65	6.62	7.21	0.074	0.004	0.108	0.01	C20orf195
202772_at	8.52	8.32	8.6	0.092	0.006	0.682	0.427	HMGCL
212688_at	6.86	6.8	6.14	0.134	0.014	0.104	0.009	PIK3CB
212783_at	6.64	6.81	7.21	0.184	0.026	0.059	0.003	RBBP6
213101_s_at	10.4	10.19	9.25	0.084	0.005	0.044	0.001	ACTR3
218741_at	7.06	6.45	7.45	0.002	0	0.287	0.067	CENPM
200053_at	8.93	8.84	9.33	0.017	0	0.101	0.008	SPAG7
206302_s_at	6.75	6.73	5.87	0.076	0.004	0.071	0.004	NUDT4|NUDT4P1
211711_s_at	5.74	5.43	5.17	0.464	0.183	0.059	0.003	PTEN
203462_x_at	9.04	8.75	9.1	0.059	0.003	0.889	0.76	EIF3B
213639_s_at	6.03	6.07	6.59	0.077	0.004	0.035	0.001	ZNF500
204846_at	8.32	8.8	7.97	0.103	0.008	0.509	0.226	CP
215364_s_at	5.75	6.08	6.37	0.238	0.043	0.04	0.001	KIAA0467
205485_at	5.13	5.36	6	0.17	0.022	0.103	0.009	RYR1
219206_x_at	8.36	8.09	7.92	0.647	0.372	0.093	0.007	TMBIM4
53968_at	7.83	7.49	7.29	0.449	0.171	0.078	0.005	INTS5
36084_at	6.97	6.96	7.5	0.093	0.007	0.108	0.01	CUL7
219416_at	4.98	5.1	5.93	0.073	0.004	0.045	0.001	SCARA3
200099_s_at	11.4	11.43	12.02	0.063	0.003	0.066	0.003	LOC439992|RPS3A
40093_at	8.18	7.67	9.14	0.008	0	0.074	0.004	BCAM
221501_x_at	8.83	9.55	10.44	0.01	0	0.021	0	LOC339047
33322_i_at	11.92	11.22	10.98	0.571	0.286	0.071	0.004	SFN
219848_s_at	7	6.6	6.22	0.398	0.13	0.099	0.008	ZNF432
213583_x_at	12.18	12.35	13.25	0.146	0.016	0.09	0.007	EEF1A1
215407_s_at	5.69	5.47	6.22	0.09	0.006	0.189	0.03	ASTN2
212376_s_at	6.59	6.72	7.3	0.076	0.004	0.103	0.009	EP400
201522_x_at	9.31	9.34	10.04	0.023	0	0.026	0	SNRPN|SNURF
213980_s_at	7.21	7.37	8	0.05	0.002	0.162	0.021	CTBP1
204517_at	8	7.75	7.08	0.129	0.013	0.048	0.002	PPIC
201221_s_at	8.98	8.87	9.48	0.03	0.001	0.091	0.007	SNRP70
218671_s_at	8.99	8.91	9.48	0.05	0.002	0.121	0.012	ATPIF1
212715_s_at	5.24	4.9	6.35	0	0	0.014	0	MICAL3
210413_x_at	9.82	10.19	10.83	0.115	0.01	0.026	0	SERPINB4
219670_at	6.66	6.46	7	0.09	0.006	0.205	0.035	C1orf165
206453_s_at	9.22	9.14	9.51	0.022	0	0.191	0.03	NDRG2
219246_s_at	4.92	4.93	5.9	0.029	0.001	0.032	0.001	OGFOD2
213979_s_at	6.65	6.92	7.31	0.208	0.033	0.041	0.001	CTBP1
212152_x_at	8.53	8.57	9.12	0.053	0.002	0.046	0.001	ARID1A
219051_x_at	7.24	6.91	7.83	0.066	0.003	0.338	0.096	METRN
200705_s_at	10.25	10.17	10.54	0.018	0	0.186	0.029	EEF1B2|EEF1B4
207843_x_at	9.36	9.8	10.49	0.117	0.01	0.024	0	CYB5A
205221_at	5.25	5.84	4.14	0.035	0.001	0.15	0.018	HGD
205278_at	4.17	4.76	3	0.04	0.001	0.166	0.022	GAD1
213135_at	5.79	6.11	5.57	0.077	0.004	0.477	0.196	TIAM1
205376_at	6.21	5.78	5.25	0.241	0.044	0.04	0.001	INPP4B
209794_at	8.11	7.79	8.59	0.003	0	0.083	0.006	SRGAP3
202071_at	10.43	10.25	10.6	0.08	0.005	0.524	0.242	SDC4
207265_s_at	7.16	7.27	6.57	0.053	0.002	0.088	0.006	KDELR3
208817_at	7.63	7.76	8.12	0.209	0.033	0.078	0.005	COMT
203781_at	9.01	8.72	8.35	0.386	0.122	0.104	0.009	MRPL33
202000_at	7.15	7.29	7.55	0.26	0.052	0.096	0.007	NDUFA6
200034_s_at	10.08	10.35	10.81	0.103	0.008	0.08	0.005	RPL6
203981_s_at	5.8	5.48	6.25	0.025	0	0.165	0.022	ABCD4
58916_at	6.61	6.38	5.84	0.149	0.017	0.043	0.001	KCTD14
208883_at	5.27	5.4	6.08	0.022	0	0.009	0	UBR5
219916_s_at	7.53	7.43	6.52	0.05	0.002	0.035	0.001	RNF39
202868_s_at	7.94	7.72	7.68	0.848	0.68	0.096	0.007	POP4
46665_at	7.54	7.43	8.42	0.006	0	0.022	0	SEMA4C
201001_s_at	5.83	6.28	5.56	0.097	0.007	0.548	0.268	TMEM189-UBE2V1|UBE2V1
214946_x_at	7.51	7.83	8.3	0.066	0.003	0.007	0	FAM21C
218976_at	6.72	6.75	5.63	0.017	0	0.03	0	DNAJC12
200081_s_at	11.07	11.12	11.85	0.132	0.013	0.095	0.007	RPS6
220625_s_at	5.83	5.62	6.82	0.003	0	0.009	0	ELF5
212522_at	5.33	5.51	6.03	0.212	0.035	0.079	0.005	PDE8A
208811_s_at	5.29	5.97	6.4	0.413	0.142	0.041	0.001	DNAJB6
203522_at	5.76	5.28	6.38	0.074	0.004	0.347	0.102	CCS
221768_at	5.6	6.06	6.41	0.444	0.166	0.103	0.009	SFPQ
217756_x_at	10.49	10.61	10.23	0.068	0.004	0.34	0.097	SERF2
211999_at	9.79	10.03	10.58	0.072	0.004	0.048	0.002	H3F3B
210397_at	7.67	7.27	6.01	0.033	0.001	0.017	0	DEFB1
214088_s_at	7.95	8.08	7.36	0.003	0	0.053	0.002	FUT3
214173_x_at	7.23	7.23	7.6	0.248	0.047	0.095	0.007	C19orf2
218302_at	9.2	9.19	8.48	0.113	0.009	0.09	0.007	PSENEN
221475_s_at	10.08	10.35	10.95	0.189	0.027	0.043	0.001	RPL15
220030_at	5.43	5	3.81	0.114	0.009	0.052	0.002	STYK1
218249_at	6.97	7.15	6.71	0.083	0.005	0.327	0.089	ZDHHC6
211710_x_at	11.45	11.43	12.2	0.069	0.004	0.073	0.004	RPL4
219664_s_at	6.58	6.64	5.74	0.058	0.003	0.081	0.005	DECR2
204734_at	8.8	8.57	10.17	0.015	0	0.035	0.001	KRT15
218412_s_at	7.37	7.45	7.8	0.05	0.002	0.066	0.003	GTF2IRD1
219940_s_at	6.44	6.71	7.19	0.074	0.004	0.04	0.001	PCID2
219164_s_at	4.46	4.62	5.3	0.067	0.003	0.051	0.002	ATG2B
203239_s_at	5.66	5.75	6.33	0.066	0.003	0.059	0.003	CNOT3
205259_at	5.86	5.59	6.46	0.025	0	0.06	0.003	NR3C2
38918_at	5.89	6.03	6.82	0.052	0.002	0.035	0.001	SOX13
219489_s_at	7.98	7.34	8.08	0.028	0.001	0.779	0.572	NXN
204806_x_at	9.71	10.36	10.71	0.411	0.14	0.03	0	HLA-F
214073_at	5.94	5.32	4.5	0.161	0.02	0.025	0	CTTN
210791_s_at	5.72	5.99	6.59	0.295	0.068	0.082	0.005	RICS
204204_at	5.95	6.11	5.37	0.032	0.001	0.075	0.004	SLC31A2
204341_at	7.51	7.73	6.83	0.021	0	0.066	0.003	TRIM16|TRIM16L
220917_s_at	7.65	7.77	8.32	0.092	0.006	0.111	0.01	WDR19
218023_s_at	7.45	7.32	7.63	0.06	0.003	0.419	0.148	FAM53C
217734_s_at	6.88	7.13	7.79	0.177	0.024	0.073	0.004	WDR6
212655_at	5.48	5.84	6.63	0.04	0.001	0.039	0.001	ZCCHC14
220998_s_at	7.06	6.94	7.96	0.006	0	0.018	0	UNC93B1
218524_at	5.68	5.57	6.35	0.099	0.007	0.17	0.024	E4F1
217991_x_at	6.69	6.73	7.28	0.025	0	0.021	0	SSBP3
204060_s_at	6.85	7.1	7.57	0.161	0.019	0.1	0.008	PRKX|PRKY
210166_at	7.02	6.94	7.95	0.003	0	0.017	0	TLR5
217910_x_at	7.16	7.26	7.68	0.089	0.006	0.049	0.002	MLX
210224_at	6.65	6.52	6.25	0.131	0.013	0.081	0.005	MR1
208812_x_at	12.33	12.5	13.19	0.095	0.007	0.041	0.001	HLA-C
210582_s_at	8.32	8.49	8.87	0.055	0.002	0.014	0	LIMK2
202090_s_at	10.28	9.92	9.59	0.333	0.088	0.059	0.003	UQCR|TMEM54
207191_s_at	5.55	5.36	6.31	0.076	0.004	0.168	0.023	ISLR
218030_at	7.09	6.89	7.72	0.074	0.004	0.157	0.02	GIT1
