EnsemblID	Gene	Species	Gene Name
ENSG00000138621	PPCDC	Homo sapiens	phosphopantothenoylcysteine decarboxylase(PPCDC)
ENSG00000138622	HCN4	Homo sapiens	hyperpolarization activated cyclic nucleotide gated potassium channel 4(HCN4)
ENSG00000114670	NEK11	Homo sapiens	NIMA related kinase 11(NEK11)
ENSG00000168487	BMP1	Homo sapiens	bone morphogenetic protein 1(BMP1)
ENSG00000125319	HROB	Homo sapiens	homologous recombination factor with OB-fold(HROB)
ENSG00000221963	APOL6	Homo sapiens	apolipoprotein L6(APOL6)
ENSG00000100038	TOP3B	Homo sapiens	DNA topoisomerase III beta(TOP3B)
ENSG00000140931	CMTM3	Homo sapiens	CKLF like MARVEL transmembrane domain containing 3(CMTM3)
ENSG00000146233	CYP39A1	Homo sapiens	cytochrome P450 family 39 subfamily A member 1(CYP39A1)
ENSG00000182774	RPS17	Homo sapiens	ribosomal protein S17(RPS17)
ENSG00000221968	FADS3	Homo sapiens	fatty acid desaturase 3(FADS3)
ENSG00000185947	ZNF267	Homo sapiens	zinc finger protein 267(ZNF267)
ENSG00000214114	MYCBP	Homo sapiens	MYC binding protein(MYCBP)
ENSG00000185946	RNPC3	Homo sapiens	RNA binding region (RNP1, RRM) containing 3(RNPC3)
ENSG00000214113	LYRM4	Homo sapiens	LYR motif containing 4(LYRM4)
ENSG00000253719	ATXN7L3B	Homo sapiens	ataxin 7 like 3B(ATXN7L3B)
ENSG00000114742	WDR48	Homo sapiens	WD repeat domain 48(WDR48)
ENSG00000134352	IL6ST	Homo sapiens	interleukin 6 cytokine family signal transducer(IL6ST)
ENSG00000133026	MYH10	Homo sapiens	myosin heavy chain 10(MYH10)
ENSG00000167280	ENGASE	Homo sapiens	endo-beta-N-acetylglucosaminidase(ENGASE)
ENSG00000125409	TEKT3	Homo sapiens	tektin 3(TEKT3)
ENSG00000167286	CD3D	Homo sapiens	CD3 delta subunit of T-cell receptor complex(CD3D)
ENSG00000215440	NPEPL1	Homo sapiens	aminopeptidase like 1(NPEPL1)
ENSG00000215440	LOC124904942	Homo sapiens	uncharacterized LOC124904942(LOC124904942)
ENSG00000160654	CD3G	Homo sapiens	CD3 gamma subunit of T-cell receptor complex(CD3G)
ENSG00000147677	EIF3H	Homo sapiens	eukaryotic translation initiation factor 3 subunit H(EIF3H)
ENSG00000122376	SHLD2	Homo sapiens	shieldin complex subunit 2(SHLD2)
ENSG00000235065	RPL24P2	Homo sapiens	RPL24 pseudogene 2(RPL24P2)
ENSG00000070610	GBA2	Homo sapiens	glucosylceramidase beta 2(GBA2)
ENSG00000114737	CISH	Homo sapiens	cytokine inducible SH2 containing protein(CISH)
ENSG00000180263	FGD6	Homo sapiens	FYVE, RhoGEF and PH domain containing 6(FGD6)
ENSG00000159640	ACE	Homo sapiens	angiotensin I converting enzyme(ACE)
ENSG00000172638	EFEMP2	Homo sapiens	EGF containing fibulin extracellular matrix protein 2(EFEMP2)
ENSG00000250685	LOC654780	Homo sapiens	splicing factor proline/glutamine-rich(LOC654780)
ENSG00000102755	FLT1	Homo sapiens	fms related receptor tyrosine kinase 1(FLT1)
ENSG00000126746	ZNF384	Homo sapiens	zinc finger protein 384(ZNF384)
ENSG00000121057	AKAP1	Homo sapiens	A-kinase anchoring protein 1(AKAP1)
ENSG00000184613	NELL2	Homo sapiens	neural EGFL like 2(NELL2)
ENSG00000215424	MCM3AP-AS1	Homo sapiens	MCM3AP antisense RNA 1(MCM3AP-AS1)
ENSG00000092850	TEKT2	Homo sapiens	tektin 2(TEKT2)
ENSG00000171320	ESCO2	Homo sapiens	establishment of sister chromatid cohesion N-acetyltransferase 2(ESCO2)
ENSG00000172650	AGAP5	Homo sapiens	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5(AGAP5)
ENSG00000158301	GPRASP2	Homo sapiens	G protein-coupled receptor associated sorting protein 2(GPRASP2)
ENSG00000228784	LINC00954	Homo sapiens	long intergenic non-protein coding RNA 954(LINC00954)
ENSG00000197948	FCHSD1	Homo sapiens	FCH and double SH3 domains 1(FCHSD1)
ENSG00000123689	G0S2	Homo sapiens	G0/G1 switch 2(G0S2)
ENSG00000100129	EIF3L	Homo sapiens	eukaryotic translation initiation factor 3 subunit L(EIF3L)
ENSG00000184640	SEPTIN9	Homo sapiens	septin 9(SEPTIN9)
ENSG00000100124	ANKRD54	Homo sapiens	ankyrin repeat domain 54(ANKRD54)
ENSG00000147654	EBAG9	Homo sapiens	estrogen receptor binding site associated antigen 9(EBAG9)
ENSG00000102781	KATNAL1	Homo sapiens	katanin catalytic subunit A1 like 1(KATNAL1)
ENSG00000241769	EOLA1-DT	Homo sapiens	EOLA1 divergent transcript(EOLA1-DT)
ENSG00000215417	MIR17HG	Homo sapiens	miR-17-92a-1 cluster host gene(MIR17HG)
ENSG00000173991	TCAP	Homo sapiens	titin-cap(TCAP)
ENSG00000110395	CBL	Homo sapiens	Cbl proto-oncogene(CBL)
ENSG00000226137	BAIAP2-DT	Homo sapiens	BAIAP2 divergent transcript(BAIAP2-DT)
ENSG00000011426	ANLN	Homo sapiens	anillin, actin binding protein(ANLN)
ENSG00000101448	EPPIN	Homo sapiens	epididymal peptidase inhibitor(EPPIN)
ENSG00000163714	U2SURP	Homo sapiens	U2 snRNP associated SURP domain containing(U2SURP)
ENSG00000184634	MED12	Homo sapiens	mediator complex subunit 12(MED12)
ENSG00000163710	PCOLCE2	Homo sapiens	procollagen C-endopeptidase enhancer 2(PCOLCE2)
ENSG00000134318	ROCK2	Homo sapiens	Rho associated coiled-coil containing protein kinase 2(ROCK2)
ENSG00000159618	ADGRG5	Homo sapiens	adhesion G protein-coupled receptor G5(ADGRG5)
ENSG00000156587	UBE2L6	Homo sapiens	ubiquitin conjugating enzyme E2 L6(UBE2L6)
ENSG00000155256	ZFYVE27	Homo sapiens	zinc finger FYVE-type containing 27(ZFYVE27)
ENSG00000155254	MARVELD1	Homo sapiens	MARVEL domain containing 1(MARVELD1)
ENSG00000111678	C12orf57	Homo sapiens	chromosome 12 open reading frame 57(C12orf57)
ENSG00000172671	ZFAND4	Homo sapiens	zinc finger AN1-type containing 4(ZFAND4)
ENSG00000111679	PTPN6	Homo sapiens	protein tyrosine phosphatase non-receptor type 6(PTPN6)
ENSG00000111674	ENO2	Homo sapiens	enolase 2(ENO2)
ENSG00000169021	UQCRFS1	Homo sapiens	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1(UQCRFS1)
ENSG00000169020	ATP5ME	Homo sapiens	ATP synthase membrane subunit e(ATP5ME)
ENSG00000172673	THEMIS	Homo sapiens	thymocyte selection associated(THEMIS)
ENSG00000197976	AKAP17A	Homo sapiens	A-kinase anchoring protein 17A(AKAP17A)
ENSG00000171346	KRT15	Homo sapiens	keratin 15(KRT15)
ENSG00000170017	ALCAM	Homo sapiens	activated leukocyte cell adhesion molecule(ALCAM)
ENSG00000228723	SRGAP3-AS2	Homo sapiens	SRGAP3 antisense RNA 2(SRGAP3-AS2)
ENSG00000225697	SLC26A6	Homo sapiens	solute carrier family 26 member 6(SLC26A6)
ENSG00000184661	CDCA2	Homo sapiens	cell division cycle associated 2(CDCA2)
ENSG00000235016	SEMA3F-AS1	Homo sapiens	SEMA3F antisense RNA 1(SEMA3F-AS1)
ENSG00000134326	CMPK2	Homo sapiens	cytidine/uridine monophosphate kinase 2(CMPK2)
ENSG00000163728	TTC14	Homo sapiens	tetratricopeptide repeat domain 14(TTC14)
ENSG00000197961	ZNF121	Homo sapiens	zinc finger protein 121(ZNF121)
ENSG00000111664	GNB3	Homo sapiens	G protein subunit beta 3(GNB3)
ENSG00000197958	RPL12	Homo sapiens	ribosomal protein L12(RPL12)
ENSG00000012779	ALOX5	Homo sapiens	arachidonate 5-lipoxygenase(ALOX5)
ENSG00000126709	IFI6	Homo sapiens	interferon alpha inducible protein 6(IFI6)
ENSG00000203499	IQANK1	Homo sapiens	IQ motif and ankyrin repeat containing 1(IQANK1)
ENSG00000183323	CCDC125	Homo sapiens	coiled-coil domain containing 125(CCDC125)
ENSG00000215475	SIAH3	Homo sapiens	siah E3 ubiquitin protein ligase family member 3(SIAH3)
ENSG00000185989	RASA3	Homo sapiens	RAS p21 protein activator 3(RASA3)
ENSG00000131269	ABCB7	Homo sapiens	ATP binding cassette subfamily B member 7(ABCB7)
ENSG00000162407	PLPP3	Homo sapiens	phospholipid phosphatase 3(PLPP3)
ENSG00000162408	NOL9	Homo sapiens	nucleolar protein 9(NOL9)
ENSG00000196663	TECPR2	Homo sapiens	tectonin beta-propeller repeat containing 2(TECPR2)
ENSG00000203485	INF2	Homo sapiens	inverted formin 2(INF2)
ENSG00000143258	USP21	Homo sapiens	ubiquitin specific peptidase 21(USP21)
ENSG00000169047	IRS1	Homo sapiens	insulin receptor substrate 1(IRS1)
ENSG00000169045	HNRNPH1	Homo sapiens	heterogeneous nuclear ribonucleoprotein H1(HNRNPH1)
ENSG00000182022	CHST15	Homo sapiens	carbohydrate sulfotransferase 15(CHST15)
ENSG00000101412	E2F1	Homo sapiens	E2F transcription factor 1(E2F1)
ENSG00000102743	SLC25A15	Homo sapiens	solute carrier family 25 member 15(SLC25A15)
ENSG00000057657	PRDM1	Homo sapiens	PR/SET domain 1(PRDM1)
ENSG00000135637	CCDC142	Homo sapiens	coiled-coil domain containing 142(CCDC142)
ENSG00000135636	DYSF	Homo sapiens	dysferlin(DYSF)
ENSG00000197980	LEKR1	Homo sapiens	leucine, glutamate and lysine rich 1(LEKR1)
ENSG00000155229	MMS19	Homo sapiens	MMS19 homolog, cytosolic iron-sulfur assembly component(MMS19)
ENSG00000197989	SNHG12	Homo sapiens	small nucleolar RNA host gene 12(SNHG12)
ENSG00000170049	KCNAB3	Homo sapiens	potassium voltage-gated channel subfamily A regulatory beta subunit 3(KCNAB3)
ENSG00000196659	IFT70B	Homo sapiens	intraflagellar transport 70B(IFT70B)
ENSG00000224397	PELATON	Homo sapiens	plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation(PELATON)
ENSG00000102738	MRPS31	Homo sapiens	mitochondrial ribosomal protein S31(MRPS31)
ENSG00000147604	RPL7	Homo sapiens	ribosomal protein L7(RPL7)
ENSG00000206503	HLA-A	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
ENSG00000078589	P2RY10	Homo sapiens	P2Y receptor family member 10(P2RY10)
ENSG00000183346	CABCOCO1	Homo sapiens	ciliary associated calcium binding coiled-coil 1(CABCOCO1)
ENSG00000184677	ZBTB40	Homo sapiens	zinc finger and BTB domain containing 40(ZBTB40)
ENSG00000135604	STX11	Homo sapiens	syntaxin 11(STX11)
ENSG00000073712	FERMT2	Homo sapiens	FERM domain containing kindlin 2(FERMT2)
ENSG00000111639	MRPL51	Homo sapiens	mitochondrial ribosomal protein L51(MRPL51)
ENSG00000112964	GHR	Homo sapiens	growth hormone receptor(GHR)
ENSG00000196683	TOMM7	Homo sapiens	translocase of outer mitochondrial membrane 7(TOMM7)
ENSG00000031081	ARHGAP31	Homo sapiens	Rho GTPase activating protein 31(ARHGAP31)
ENSG00000169064	ZBBX	Homo sapiens	zinc finger B-box domain containing(ZBBX)
ENSG00000196689	TRPV1	Homo sapiens	transient receptor potential cation channel subfamily V member 1(TRPV1)
ENSG00000136930	PSMB7	Homo sapiens	proteasome 20S subunit beta 7(PSMB7)
ENSG00000204711	CFAP95	Homo sapiens	cilia and flagella associated protein 95(CFAP95)
ENSG00000005100	DHX33	Homo sapiens	DEAH-box helicase 33(DHX33)
ENSG00000100985	MMP9	Homo sapiens	matrix metallopeptidase 9(MMP9)
ENSG00000187733	AMY1C	Homo sapiens	amylase alpha 1C(AMY1C)
ENSG00000157869	RAB28	Homo sapiens	RAB28, member RAS oncogene family(RAB28)
ENSG00000196670	ZFP62	Homo sapiens	ZFP62 zinc finger protein(ZFP62)
ENSG00000213654	GPSM3	Homo sapiens	G protein signaling modulator 3(GPSM3)
ENSG00000048740	CELF2	Homo sapiens	CUGBP Elav-like family member 2(CELF2)
ENSG00000237649	KIFC1	Homo sapiens	kinesin family member C1(KIFC1)
ENSG00000213658	LAT	Homo sapiens	linker for activation of T cells(LAT)
ENSG00000136943	CTSV	Homo sapiens	cathepsin V(CTSV)
ENSG00000136942	RPL35	Homo sapiens	ribosomal protein L35(RPL35)
ENSG00000143226	FCGR2A	Homo sapiens	Fc gamma receptor IIa(FCGR2A)
ENSG00000143228	NUF2	Homo sapiens	NUF2 component of NDC80 kinetochore complex(NUF2)
ENSG00000166803	PCLAF	Homo sapiens	PCNA clamp associated factor(PCLAF)
ENSG00000187720	THSD4	Homo sapiens	thrombospondin type 1 domain containing 4(THSD4)
ENSG00000011485	PPP5C	Homo sapiens	protein phosphatase 5 catalytic subunit(PPP5C)
ENSG00000187726	DNAJB13	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B13(DNAJB13)
ENSG00000143222	UFC1	Homo sapiens	ubiquitin-fold modifier conjugating enzyme 1(UFC1)
ENSG00000144554	FANCD2	Homo sapiens	FA complementation group D2(FANCD2)
ENSG00000166801	FAM111A	Homo sapiens	FAM111 trypsin like peptidase A(FAM111A)
ENSG00000157856	DRC1	Homo sapiens	dynein regulatory complex subunit 1(DRC1)
ENSG00000089280	FUS	Homo sapiens	FUS RNA binding protein(FUS)
ENSG00000090273	NUDC	Homo sapiens	nuclear distribution C, dynein complex regulator(NUDC)
ENSG00000136918	WDR38	Homo sapiens	WD repeat domain 38(WDR38)
ENSG00000026508	CD44	Homo sapiens	CD44 molecule (IN blood group)(CD44)
ENSG00000110324	IL10RA	Homo sapiens	interleukin 10 receptor subunit alpha(IL10RA)
ENSG00000094631	HDAC6	Homo sapiens	histone deacetylase 6(HDAC6)
ENSG00000170074	FAM153A	Homo sapiens	family with sequence similarity 153 member A(FAM153A)
ENSG00000112983	BRD8	Homo sapiens	bromodomain containing 8(BRD8)
ENSG00000112984	KIF20A	Homo sapiens	kinesin family member 20A(KIF20A)
ENSG00000112981	NME5	Homo sapiens	NME/NM23 family member 5(NME5)
ENSG00000132554	RGS22	Homo sapiens	regulator of G protein signaling 22(RGS22)
ENSG00000081320	STK17B	Homo sapiens	serine/threonine kinase 17b(STK17B)
ENSG00000123607	TTC21B	Homo sapiens	tetratricopeptide repeat domain 21B(TTC21B)
ENSG00000148908	RGS10	Homo sapiens	regulator of G protein signaling 10(RGS10)
ENSG00000166813	KIF7	Homo sapiens	kinesin family member 7(KIF7)
ENSG00000089289	IGBP1	Homo sapiens	immunoglobulin binding protein 1(IGBP1)
ENSG00000110318	CEP126	Homo sapiens	centrosomal protein 126(CEP126)
ENSG00000173110	HSPA6	Homo sapiens	heat shock protein family A (Hsp70) member 6(HSPA6)
ENSG00000174442	ZWILCH	Homo sapiens	zwilch kinetochore protein(ZWILCH)
ENSG00000196693	ZNF33B	Homo sapiens	zinc finger protein 33B(ZNF33B)
ENSG00000090266	NDUFB2	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B2(NDUFB2)
ENSG00000111647	BLTP3B	Homo sapiens	bridge-like lipid transfer protein family member 3B(BLTP3B)
ENSG00000196696	PDXDC2P-NPIPB14P	Homo sapiens	PDXDC2P-NPIPB14P readthrough, transcribed pseudogene(PDXDC2P-NPIPB14P)
ENSG00000118263	KLF7	Homo sapiens	KLF transcription factor 7(KLF7)
ENSG00000174444	RPL4	Homo sapiens	ribosomal protein L4(RPL4)
ENSG00000123609	NMI	Homo sapiens	N-myc and STAT interactor(NMI)
ENSG00000055044	NOP58	Homo sapiens	NOP58 ribonucleoprotein(NOP58)
ENSG00000162461	SLC25A34	Homo sapiens	solute carrier family 25 member 34(SLC25A34)
ENSG00000228716	DHFR	Homo sapiens	dihydrofolate reductase(DHFR)
ENSG00000187741	FANCA	Homo sapiens	FA complementation group A(FANCA)
ENSG00000139190	VAMP1	Homo sapiens	vesicle associated membrane protein 1(VAMP1)
ENSG00000139193	CD27	Homo sapiens	CD27 molecule(CD27)
ENSG00000070669	ASNS	Homo sapiens	asparagine synthetase (glutamine-hydrolyzing)(ASNS)
ENSG00000131203	IDO1	Homo sapiens	indoleamine 2,3-dioxygenase 1(IDO1)
ENSG00000072422	RHOBTB1	Homo sapiens	Rho related BTB domain containing 1(RHOBTB1)
ENSG00000156508	EEF1A1	Homo sapiens	eukaryotic translation elongation factor 1 alpha 1(EEF1A1)
ENSG00000175787	ZNF169	Homo sapiens	zinc finger protein 169(ZNF169)
ENSG00000174456	C12orf76	Homo sapiens	chromosome 12 open reading frame 76(C12orf76)
ENSG00000144524	COPS7B	Homo sapiens	COP9 signalosome subunit 7B(COPS7B)
ENSG00000258539	EEF1AKMT2	Homo sapiens	EEF1A lysine methyltransferase 2(EEF1AKMT2)
ENSG00000100941	PNN	Homo sapiens	pinin, desmosome associated protein(PNN)
ENSG00000165506	DNAAF2	Homo sapiens	dynein axonemal assembly factor 2(DNAAF2)
ENSG00000141499	WRAP53	Homo sapiens	WD repeat containing antisense to TP53(WRAP53)
ENSG00000027869	SH2D2A	Homo sapiens	SH2 domain containing 2A(SH2D2A)
ENSG00000132549	VPS13B	Homo sapiens	vacuolar protein sorting 13 homolog B(VPS13B)
ENSG00000175792	RUVBL1	Homo sapiens	RuvB like AAA ATPase 1(RUVBL1)
ENSG00000141480	ARRB2	Homo sapiens	arrestin beta 2(ARRB2)
ENSG00000185101	ANO9	Homo sapiens	anoctamin 9(ANO9)
ENSG00000139174	PRICKLE1	Homo sapiens	prickle planar cell polarity protein 1(PRICKLE1)
ENSG00000187764	SEMA4D	Homo sapiens	semaphorin 4D(SEMA4D)
ENSG00000067082	KLF6	Homo sapiens	KLF transcription factor 6(KLF6)
ENSG00000092010	PSME1	Homo sapiens	proteasome activator subunit 1(PSME1)
ENSG00000072401	UBE2D1	Homo sapiens	ubiquitin conjugating enzyme E2 D1(UBE2D1)
ENSG00000132514	CLEC10A	Homo sapiens	C-type lectin domain containing 10A(CLEC10A)
ENSG00000154783	FGD5	Homo sapiens	FYVE, RhoGEF and PH domain containing 5(FGD5)
ENSG00000213689	TREX1	Homo sapiens	three prime repair exonuclease 1(TREX1)
ENSG00000177508	IRX3	Homo sapiens	iroquois homeobox 3(IRX3)
ENSG00000002016	RAD52	Homo sapiens	RAD52 homolog, DNA repair protein(RAD52)
ENSG00000197119	SLC25A29	Homo sapiens	solute carrier family 25 member 29(SLC25A29)
ENSG00000132510	KDM6B	Homo sapiens	lysine demethylase 6B(KDM6B)
ENSG00000162493	PDPN	Homo sapiens	podoplanin(PDPN)
ENSG00000144504	ANKMY1	Homo sapiens	ankyrin repeat and MYND domain containing 1(ANKMY1)
ENSG00000166851	PLK1	Homo sapiens	polo like kinase 1(PLK1)
ENSG00000120539	MASTL	Homo sapiens	microtubule associated serine/threonine kinase like(MASTL)
ENSG00000187796	CARD9	Homo sapiens	caspase recruitment domain family member 9(CARD9)
ENSG00000186462	NAP1L2	Homo sapiens	nucleosome assembly protein 1 like 2(NAP1L2)
ENSG00000186468	RPS23	Homo sapiens	ribosomal protein S23(RPS23)
ENSG00000186469	GNG2	Homo sapiens	G protein subunit gamma 2(GNG2)
ENSG00000112936	C7	Homo sapiens	complement C7(C7)
ENSG00000067066	SP100	Homo sapiens	SP100 nuclear antigen(SP100)
ENSG00000174483	BBS1	Homo sapiens	Bardet-Biedl syndrome 1(BBS1)
ENSG00000111602	TIMELESS	Homo sapiens	timeless circadian regulator(TIMELESS)
ENSG00000133858	ZFC3H1	Homo sapiens	zinc finger C3H1-type containing(ZFC3H1)
ENSG00000145819	ARHGAP26	Homo sapiens	Rho GTPase activating protein 26(ARHGAP26)
ENSG00000245248	USP2-AS1	Homo sapiens	USP2 antisense RNA 1(USP2-AS1)
ENSG00000182093	GET1	Homo sapiens	guided entry of tail-anchored proteins factor 1(GET1)
ENSG00000185122	HSF1	Homo sapiens	heat shock transcription factor 1(HSF1)
ENSG00000165533	TTC8	Homo sapiens	tetratricopeptide repeat domain 8(TTC8)
ENSG00000142798	HSPG2	Homo sapiens	heparan sulfate proteoglycan 2(HSPG2)
ENSG00000173040	EVC2	Homo sapiens	EvC ciliary complex subunit 2(EVC2)
ENSG00000096433	ITPR3	Homo sapiens	inositol 1,4,5-trisphosphate receptor type 3(ITPR3)
ENSG00000174370	KCNJ5-AS1	Homo sapiens	KCNJ5 antisense RNA 1(KCNJ5-AS1)
ENSG00000178732	GP5	Homo sapiens	glycoprotein V platelet(GP5)
ENSG00000153558	FBXL2	Homo sapiens	F-box and leucine rich repeat protein 2(FBXL2)
ENSG00000177409	SAMD9L	Homo sapiens	sterile alpha motif domain containing 9 like(SAMD9L)
ENSG00000119640	ACYP1	Homo sapiens	acylphosphatase 1(ACYP1)
ENSG00000115271	GCA	Homo sapiens	grancalcin(GCA)
ENSG00000121966	CXCR4	Homo sapiens	C-X-C motif chemokine receptor 4(CXCR4)
ENSG00000141576	RNF157	Homo sapiens	ring finger protein 157(RNF157)
ENSG00000178741	COX5A	Homo sapiens	cytochrome c oxidase subunit 5A(COX5A)
ENSG00000177410	ZFAS1	Homo sapiens	ZNFX1 antisense RNA 1(ZFAS1)
ENSG00000133958	UNC79	Homo sapiens	unc-79 homolog, NALCN channel complex subunit(UNC79)
ENSG00000198331	HYLS1	Homo sapiens	HYLS1 centriolar and ciliogenesis associated(HYLS1)
ENSG00000152217	SETBP1	Homo sapiens	SET binding protein 1(SETBP1)
ENSG00000119650	IFT43	Homo sapiens	intraflagellar transport 43(IFT43)
ENSG00000152213	ARL11	Homo sapiens	ARF like GTPase 11(ARL11)
ENSG00000115268	RPS15	Homo sapiens	ribosomal protein S15(RPS15)
ENSG00000115267	IFIH1	Homo sapiens	interferon induced with helicase C domain 1(IFIH1)
ENSG00000166762	CATSPER2	Homo sapiens	cation channel sperm associated 2(CATSPER2)
ENSG00000186352	ANKRD37	Homo sapiens	ankyrin repeat domain 37(ANKRD37)
ENSG00000120647	CCDC77	Homo sapiens	coiled-coil domain containing 77(CCDC77)
ENSG00000164109	MAD2L1	Homo sapiens	mitotic arrest deficient 2 like 1(MAD2L1)
ENSG00000187688	TRPV2	Homo sapiens	transient receptor potential cation channel subfamily V member 2(TRPV2)
ENSG00000141564	RPTOR	Homo sapiens	regulatory associated protein of MTOR complex 1(RPTOR)
ENSG00000153531	ADPRHL1	Homo sapiens	ADP-ribosylhydrolase like 1(ADPRHL1)
ENSG00000106348	IMPDH1	Homo sapiens	inosine monophosphate dehydrogenase 1(IMPDH1)
ENSG00000173064	HECTD4	Homo sapiens	HECT domain E3 ubiquitin protein ligase 4(HECTD4)
ENSG00000145907	G3BP1	Homo sapiens	G3BP stress granule assembly factor 1(G3BP1)
ENSG00000145908	ZNF300	Homo sapiens	zinc finger protein 300(ZNF300)
ENSG00000141552	ANAPC11	Homo sapiens	anaphase promoting complex subunit 11(ANAPC11)
ENSG00000141551	CSNK1D	Homo sapiens	casein kinase 1 delta(CSNK1D)
ENSG00000185055	EFCAB10	Homo sapiens	EF-hand calcium binding domain 10(EFCAB10)
ENSG00000164118	CEP44	Homo sapiens	centrosomal protein 44(CEP44)
ENSG00000164114	MAP9	Homo sapiens	microtubule associated protein 9(MAP9)
ENSG00000105011	ASF1B	Homo sapiens	anti-silencing function 1B histone chaperone(ASF1B)
ENSG00000164116	GUCY1A1	Homo sapiens	guanylate cyclase 1 soluble subunit alpha 1(GUCY1A1)
ENSG00000106344	RBM28	Homo sapiens	RNA binding motif protein 28(RBM28)
ENSG00000128581	IFT22	Homo sapiens	intraflagellar transport 22(IFT22)
ENSG00000198355	PIM3	Homo sapiens	Pim-3 proto-oncogene, serine/threonine kinase(PIM3)
ENSG00000178761	FAM219B	Homo sapiens	family with sequence similarity 219 member B(FAM219B)
ENSG00000139239	RPL14P1	Homo sapiens	ribosomal protein L14 pseudogene 1(RPL14P1)
ENSG00000119636	BBOF1	Homo sapiens	basal body orientation factor 1(BBOF1)
ENSG00000115282	TTC31	Homo sapiens	tetratricopeptide repeat domain 31(TTC31)
ENSG00000186376	ZNF75D	Homo sapiens	zinc finger protein 75D(ZNF75D)
ENSG00000118307	DNAI7	Homo sapiens	dynein axonemal intermediate chain 7(DNAI7)
ENSG00000106333	PCOLCE	Homo sapiens	procollagen C-endopeptidase enhancer(PCOLCE)
ENSG00000108947	EFNB3	Homo sapiens	ephrin B3(EFNB3)
ENSG00000197057	DTHD1	Homo sapiens	death domain containing 1(DTHD1)
ENSG00000108946	PRKAR1A	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
ENSG00000124193	SRSF6	Homo sapiens	serine and arginine rich splicing factor 6(SRSF6)
ENSG00000115234	SNX17	Homo sapiens	sorting nexin 17(SNX17)
ENSG00000185070	FLRT2	Homo sapiens	fibronectin leucine rich transmembrane protein 2(FLRT2)
ENSG00000115232	ITGA4	Homo sapiens	integrin subunit alpha 4(ITGA4)
ENSG00000116560	SFPQ	Homo sapiens	splicing factor proline and glutamine rich(SFPQ)
ENSG00000238083	LRRC37A2	Homo sapiens	leucine rich repeat containing 37 member A2(LRRC37A2)
ENSG00000154839	SKA1	Homo sapiens	spindle and kinetochore associated complex subunit 1(SKA1)
ENSG00000230124	ACBD6	Homo sapiens	acyl-CoA binding domain containing 6(ACBD6)
ENSG00000230124	LHX4-AS1	Homo sapiens	LHX4 antisense RNA 1(LHX4-AS1)
ENSG00000164136	IL15	Homo sapiens	interleukin 15(IL15)
ENSG00000169826	CSGALNACT2	Homo sapiens	chondroitin sulfate N-acetylgalactosaminyltransferase 2(CSGALNACT2)
ENSG00000108932	SLC16A6	Homo sapiens	solute carrier family 16 member 6(SLC16A6)
ENSG00000128563	PRKRIP1	Homo sapiens	PRKR interacting protein 1(PRKRIP1)
ENSG00000150471	ADGRL3	Homo sapiens	adhesion G protein-coupled receptor L3(ADGRL3)
ENSG00000103241	FOXF1	Homo sapiens	forkhead box F1(FOXF1)
ENSG00000149480	MTA2	Homo sapiens	metastasis associated 1 family member 2(MTA2)
ENSG00000149485	FADS1	Homo sapiens	fatty acid desaturase 1(FADS1)
ENSG00000154832	CXXC1	Homo sapiens	CXXC finger protein 1(CXXC1)
ENSG00000177459	ERICH5	Homo sapiens	glutamate rich 5(ERICH5)
ENSG00000213619	NDUFS3	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S3(NDUFS3)
ENSG00000168502	MTCL1	Homo sapiens	microtubule crosslinking factor 1(MTCL1)
ENSG00000139211	AMIGO2	Homo sapiens	adhesion molecule with Ig like domain 2(AMIGO2)
ENSG00000112195	TREML2	Homo sapiens	triggering receptor expressed on myeloid cells like 2(TREML2)
ENSG00000087510	TFAP2C	Homo sapiens	transcription factor AP-2 gamma(TFAP2C)
ENSG00000028310	BRD9	Homo sapiens	bromodomain containing 9(BRD9)
ENSG00000128567	PODXL	Homo sapiens	podocalyxin like(PODXL)
ENSG00000178796	RIIAD1	Homo sapiens	regulatory subunit of type II PKA R-subunit domain containing 1(RIIAD1)
ENSG00000108963	DPH1	Homo sapiens	diphthamide biosynthesis 1(DPH1)
ENSG00000141506	PIK3R5	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 5(PIK3R5)
ENSG00000136158	SPRY2	Homo sapiens	sprouty RTK signaling antagonist 2(SPRY2)
ENSG00000165480	SKA3	Homo sapiens	spindle and kinetochore associated complex subunit 3(SKA3)
ENSG00000242125	SNHG3	Homo sapiens	small nucleolar RNA host gene 3(SNHG3)
ENSG00000092094	OSGEP	Homo sapiens	O-sialoglycoprotein endopeptidase(OSGEP)
ENSG00000177469	CAVIN1	Homo sapiens	caveolae associated protein 1(CAVIN1)
ENSG00000092096	SLC22A17	Homo sapiens	solute carrier family 22 member 17(SLC22A17)
